icd10_root,gbd_cause_lvl3,gbd_cause_lvl2
O74,Other direct maternal disorders,Other direct maternal disorders
O75,Other direct maternal disorders,Other direct maternal disorders
O76,Other direct maternal disorders,Other direct maternal disorders
O77,Other direct maternal disorders,Other direct maternal disorders
O80,Other direct maternal disorders,Other direct maternal disorders
O81,Other direct maternal disorders,Other direct maternal disorders
O82,Other direct maternal disorders,Other direct maternal disorders
O83,Other direct maternal disorders,Other direct maternal disorders
O84,Other direct maternal disorders,Other direct maternal disorders
O87,Other direct maternal disorders,Other direct maternal disorders
O88,Other direct maternal disorders,Other direct maternal disorders
O89,Other direct maternal disorders,Other direct maternal disorders
O90,Other direct maternal disorders,Other direct maternal disorders
O92,Other direct maternal disorders,Other direct maternal disorders
P00,Neonatal disorders,Neonatal disorders
P01,Neonatal disorders,Neonatal disorders
P02,Neonatal disorders,Neonatal disorders
P03,Neonatal disorders,Neonatal disorders
P04,Neonatal disorders,Neonatal disorders
P05,Neonatal disorders,Neonatal disorders
P07,Neonatal disorders,Neonatal disorders
P08,Neonatal disorders,Neonatal disorders
P09,Neonatal disorders,Neonatal disorders
P10,Neonatal disorders,Neonatal disorders
P11,Neonatal disorders,Neonatal disorders
P12,Neonatal disorders,Neonatal disorders
P13,Neonatal disorders,Neonatal disorders
P14,Neonatal disorders,Neonatal disorders
P15,Neonatal disorders,Neonatal disorders
P19,Neonatal disorders,Neonatal disorders
P20,Neonatal disorders,Neonatal disorders
P21,Neonatal disorders,Neonatal disorders
P22,Neonatal disorders,Neonatal disorders
P24,Neonatal disorders,Neonatal disorders
P25,Neonatal disorders,Neonatal disorders
P26,Neonatal disorders,Neonatal disorders
P27,Neonatal disorders,Neonatal disorders
P28,Neonatal disorders,Neonatal disorders
P29,Neonatal disorders,Neonatal disorders
P36,Neonatal disorders,Neonatal disorders
P38,Neonatal disorders,Neonatal disorders
P39,Neonatal disorders,Neonatal disorders
P50,Neonatal disorders,Neonatal disorders
P51,Neonatal disorders,Neonatal disorders
P52,Neonatal disorders,Neonatal disorders
P53,Neonatal disorders,Neonatal disorders
P54,Neonatal disorders,Neonatal disorders
P55,Neonatal disorders,Neonatal disorders
P56,Neonatal disorders,Neonatal disorders
P57,Neonatal disorders,Neonatal disorders
P58,Neonatal disorders,Neonatal disorders
P59,Neonatal disorders,Neonatal disorders
P60,Neonatal disorders,Neonatal disorders
P61,Neonatal disorders,Neonatal disorders
P70,Neonatal disorders,Neonatal disorders
P71,Neonatal disorders,Neonatal disorders
P72,Neonatal disorders,Neonatal disorders
P74,Neonatal disorders,Neonatal disorders
P75,Neonatal disorders,Neonatal disorders
P76,Neonatal disorders,Neonatal disorders
P77,Neonatal disorders,Neonatal disorders
P78,Neonatal disorders,Neonatal disorders
P80,Neonatal disorders,Neonatal disorders
P81,Neonatal disorders,Neonatal disorders
P83,Neonatal disorders,Neonatal disorders
P84,Neonatal disorders,Neonatal disorders
P90,Neonatal disorders,Neonatal disorders
P91,Neonatal disorders,Neonatal disorders
P92,Neonatal disorders,Neonatal disorders
P94,Neonatal disorders,Neonatal disorders
P96,Neonatal disorders,Neonatal disorders
P01,Neonatal preterm birth,Neonatal preterm birth
P05,Neonatal preterm birth,Neonatal preterm birth
P07,Neonatal preterm birth,Neonatal preterm birth
P22,Neonatal preterm birth,Neonatal preterm birth
P25,Neonatal preterm birth,Neonatal preterm birth
P26,Neonatal preterm birth,Neonatal preterm birth
P27,Neonatal preterm birth,Neonatal preterm birth
P28,Neonatal preterm birth,Neonatal preterm birth
P52,Neonatal preterm birth,Neonatal preterm birth
P61,Neonatal preterm birth,Neonatal preterm birth
P77,Neonatal preterm birth,Neonatal preterm birth
P78,Neonatal preterm birth,Neonatal preterm birth
P01,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P02,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P03,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P10,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P11,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P12,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P13,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P14,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P15,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P20,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P21,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P24,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P90,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P91,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal encephalopathy due to birth asphyxia and trauma
P36,Neonatal sepsis and other neonatal infections,Neonatal sepsis and other neonatal infections
P38,Neonatal sepsis and other neonatal infections,Neonatal sepsis and other neonatal infections
P39,Neonatal sepsis and other neonatal infections,Neonatal sepsis and other neonatal infections
P55,Hemolytic disease and other neonatal jaundice,Hemolytic disease and other neonatal jaundice
P56,Hemolytic disease and other neonatal jaundice,Hemolytic disease and other neonatal jaundice
P57,Hemolytic disease and other neonatal jaundice,Hemolytic disease and other neonatal jaundice
P58,Hemolytic disease and other neonatal jaundice,Hemolytic disease and other neonatal jaundice
P59,Hemolytic disease and other neonatal jaundice,Hemolytic disease and other neonatal jaundice
P00,Other neonatal disorders,Other neonatal disorders
P01,Other neonatal disorders,Other neonatal disorders
P04,Other neonatal disorders,Other neonatal disorders
P08,Other neonatal disorders,Other neonatal disorders
P09,Other neonatal disorders,Other neonatal disorders
P19,Other neonatal disorders,Other neonatal disorders
P29,Other neonatal disorders,Other neonatal disorders
P50,Other neonatal disorders,Other neonatal disorders
P51,Other neonatal disorders,Other neonatal disorders
P53,Other neonatal disorders,Other neonatal disorders
P54,Other neonatal disorders,Other neonatal disorders
P60,Other neonatal disorders,Other neonatal disorders
P61,Other neonatal disorders,Other neonatal disorders
P70,Other neonatal disorders,Other neonatal disorders
P71,Other neonatal disorders,Other neonatal disorders
P72,Other neonatal disorders,Other neonatal disorders
P74,Other neonatal disorders,Other neonatal disorders
P75,Other neonatal disorders,Other neonatal disorders
P76,Other neonatal disorders,Other neonatal disorders
P78,Other neonatal disorders,Other neonatal disorders
P80,Other neonatal disorders,Other neonatal disorders
P81,Other neonatal disorders,Other neonatal disorders
P83,Other neonatal disorders,Other neonatal disorders
P84,Other neonatal disorders,Other neonatal disorders
P92,Other neonatal disorders,Other neonatal disorders
P94,Other neonatal disorders,Other neonatal disorders
P96,Other neonatal disorders,Other neonatal disorders
D50,Nutritional deficiencies,Nutritional deficiencies
D51,Nutritional deficiencies,Nutritional deficiencies
D52,Nutritional deficiencies,Nutritional deficiencies
D53,Nutritional deficiencies,Nutritional deficiencies
E00,Nutritional deficiencies,Nutritional deficiencies
E01,Nutritional deficiencies,Nutritional deficiencies
E02,Nutritional deficiencies,Nutritional deficiencies
E40,Nutritional deficiencies,Nutritional deficiencies
E41,Nutritional deficiencies,Nutritional deficiencies
E42,Nutritional deficiencies,Nutritional deficiencies
E43,Nutritional deficiencies,Nutritional deficiencies
E44,Nutritional deficiencies,Nutritional deficiencies
E45,Nutritional deficiencies,Nutritional deficiencies
E46,Nutritional deficiencies,Nutritional deficiencies
E51,Nutritional deficiencies,Nutritional deficiencies
E52,Nutritional deficiencies,Nutritional deficiencies
E53,Nutritional deficiencies,Nutritional deficiencies
E54,Nutritional deficiencies,Nutritional deficiencies
E55,Nutritional deficiencies,Nutritional deficiencies
E56,Nutritional deficiencies,Nutritional deficiencies
E57,Nutritional deficiencies,Nutritional deficiencies
E58,Nutritional deficiencies,Nutritional deficiencies
E59,Nutritional deficiencies,Nutritional deficiencies
E60,Nutritional deficiencies,Nutritional deficiencies
E61,Nutritional deficiencies,Nutritional deficiencies
E63,Nutritional deficiencies,Nutritional deficiencies
E64,Nutritional deficiencies,Nutritional deficiencies
M12,Nutritional deficiencies,Nutritional deficiencies
E40,Protein-energy malnutrition,Protein-energy malnutrition
E41,Protein-energy malnutrition,Protein-energy malnutrition
E42,Protein-energy malnutrition,Protein-energy malnutrition
E43,Protein-energy malnutrition,Protein-energy malnutrition
E44,Protein-energy malnutrition,Protein-energy malnutrition
E45,Protein-energy malnutrition,Protein-energy malnutrition
E46,Protein-energy malnutrition,Protein-energy malnutrition
E64,Protein-energy malnutrition,Protein-energy malnutrition
D51,Other nutritional deficiencies,Other nutritional deficiencies
D52,Other nutritional deficiencies,Other nutritional deficiencies
D53,Other nutritional deficiencies,Other nutritional deficiencies
E00,Other nutritional deficiencies,Other nutritional deficiencies
E01,Other nutritional deficiencies,Other nutritional deficiencies
E02,Other nutritional deficiencies,Other nutritional deficiencies
E51,Other nutritional deficiencies,Other nutritional deficiencies
E52,Other nutritional deficiencies,Other nutritional deficiencies
E53,Other nutritional deficiencies,Other nutritional deficiencies
E54,Other nutritional deficiencies,Other nutritional deficiencies
E55,Other nutritional deficiencies,Other nutritional deficiencies
E56,Other nutritional deficiencies,Other nutritional deficiencies
E57,Other nutritional deficiencies,Other nutritional deficiencies
E58,Other nutritional deficiencies,Other nutritional deficiencies
E59,Other nutritional deficiencies,Other nutritional deficiencies
E60,Other nutritional deficiencies,Other nutritional deficiencies
E61,Other nutritional deficiencies,Other nutritional deficiencies
E63,Other nutritional deficiencies,Other nutritional deficiencies
E64,Other nutritional deficiencies,Other nutritional deficiencies
M12,Other nutritional deficiencies,Other nutritional deficiencies
A46,Non-communicable diseases,Non-communicable diseases
A66,Non-communicable diseases,Non-communicable diseases
A67,Non-communicable diseases,Non-communicable diseases
B18,Non-communicable diseases,Non-communicable diseases
B33,Non-communicable diseases,Non-communicable diseases
B86,Non-communicable diseases,Non-communicable diseases
C00,Non-communicable diseases,Non-communicable diseases
C01,Non-communicable diseases,Non-communicable diseases
C02,Non-communicable diseases,Non-communicable diseases
C03,Non-communicable diseases,Non-communicable diseases
C04,Non-communicable diseases,Non-communicable diseases
C05,Non-communicable diseases,Non-communicable diseases
C06,Non-communicable diseases,Non-communicable diseases
C07,Non-communicable diseases,Non-communicable diseases
C08,Non-communicable diseases,Non-communicable diseases
C09,Non-communicable diseases,Non-communicable diseases
C10,Non-communicable diseases,Non-communicable diseases
C11,Non-communicable diseases,Non-communicable diseases
C12,Non-communicable diseases,Non-communicable diseases
C13,Non-communicable diseases,Non-communicable diseases
C15,Non-communicable diseases,Non-communicable diseases
C16,Non-communicable diseases,Non-communicable diseases
C17,Non-communicable diseases,Non-communicable diseases
C18,Non-communicable diseases,Non-communicable diseases
C19,Non-communicable diseases,Non-communicable diseases
C20,Non-communicable diseases,Non-communicable diseases
C21,Non-communicable diseases,Non-communicable diseases
C22,Non-communicable diseases,Non-communicable diseases
C23,Non-communicable diseases,Non-communicable diseases
C24,Non-communicable diseases,Non-communicable diseases
C25,Non-communicable diseases,Non-communicable diseases
C30,Non-communicable diseases,Non-communicable diseases
C31,Non-communicable diseases,Non-communicable diseases
C32,Non-communicable diseases,Non-communicable diseases
C33,Non-communicable diseases,Non-communicable diseases
C34,Non-communicable diseases,Non-communicable diseases
C37,Non-communicable diseases,Non-communicable diseases
C38,Non-communicable diseases,Non-communicable diseases
C40,Non-communicable diseases,Non-communicable diseases
C41,Non-communicable diseases,Non-communicable diseases
C43,Non-communicable diseases,Non-communicable diseases
C44,Non-communicable diseases,Non-communicable diseases
C45,Non-communicable diseases,Non-communicable diseases
C47,Non-communicable diseases,Non-communicable diseases
C48,Non-communicable diseases,Non-communicable diseases
C49,Non-communicable diseases,Non-communicable diseases
C50,Non-communicable diseases,Non-communicable diseases
C51,Non-communicable diseases,Non-communicable diseases
C52,Non-communicable diseases,Non-communicable diseases
C53,Non-communicable diseases,Non-communicable diseases
C54,Non-communicable diseases,Non-communicable diseases
C56,Non-communicable diseases,Non-communicable diseases
C57,Non-communicable diseases,Non-communicable diseases
C60,Non-communicable diseases,Non-communicable diseases
C61,Non-communicable diseases,Non-communicable diseases
C62,Non-communicable diseases,Non-communicable diseases
C63,Non-communicable diseases,Non-communicable diseases
C64,Non-communicable diseases,Non-communicable diseases
C65,Non-communicable diseases,Non-communicable diseases
C66,Non-communicable diseases,Non-communicable diseases
C67,Non-communicable diseases,Non-communicable diseases
C68,Non-communicable diseases,Non-communicable diseases
C69,Non-communicable diseases,Non-communicable diseases
C70,Non-communicable diseases,Non-communicable diseases
C71,Non-communicable diseases,Non-communicable diseases
C72,Non-communicable diseases,Non-communicable diseases
C73,Non-communicable diseases,Non-communicable diseases
C75,Non-communicable diseases,Non-communicable diseases
C81,Non-communicable diseases,Non-communicable diseases
C82,Non-communicable diseases,Non-communicable diseases
C83,Non-communicable diseases,Non-communicable diseases
C84,Non-communicable diseases,Non-communicable diseases
C85,Non-communicable diseases,Non-communicable diseases
C86,Non-communicable diseases,Non-communicable diseases
C88,Non-communicable diseases,Non-communicable diseases
C89,Non-communicable diseases,Non-communicable diseases
C90,Non-communicable diseases,Non-communicable diseases
C91,Non-communicable diseases,Non-communicable diseases
C92,Non-communicable diseases,Non-communicable diseases
C93,Non-communicable diseases,Non-communicable diseases
C94,Non-communicable diseases,Non-communicable diseases
C95,Non-communicable diseases,Non-communicable diseases
C96,Non-communicable diseases,Non-communicable diseases
D00,Non-communicable diseases,Non-communicable diseases
D01,Non-communicable diseases,Non-communicable diseases
D02,Non-communicable diseases,Non-communicable diseases
D03,Non-communicable diseases,Non-communicable diseases
D04,Non-communicable diseases,Non-communicable diseases
D05,Non-communicable diseases,Non-communicable diseases
D06,Non-communicable diseases,Non-communicable diseases
D07,Non-communicable diseases,Non-communicable diseases
D09,Non-communicable diseases,Non-communicable diseases
D10,Non-communicable diseases,Non-communicable diseases
D11,Non-communicable diseases,Non-communicable diseases
D12,Non-communicable diseases,Non-communicable diseases
D13,Non-communicable diseases,Non-communicable diseases
D14,Non-communicable diseases,Non-communicable diseases
D15,Non-communicable diseases,Non-communicable diseases
D16,Non-communicable diseases,Non-communicable diseases
D22,Non-communicable diseases,Non-communicable diseases
D23,Non-communicable diseases,Non-communicable diseases
D24,Non-communicable diseases,Non-communicable diseases
D25,Non-communicable diseases,Non-communicable diseases
D26,Non-communicable diseases,Non-communicable diseases
D27,Non-communicable diseases,Non-communicable diseases
D28,Non-communicable diseases,Non-communicable diseases
D29,Non-communicable diseases,Non-communicable diseases
D30,Non-communicable diseases,Non-communicable diseases
D31,Non-communicable diseases,Non-communicable diseases
D32,Non-communicable diseases,Non-communicable diseases
D33,Non-communicable diseases,Non-communicable diseases
D34,Non-communicable diseases,Non-communicable diseases
D35,Non-communicable diseases,Non-communicable diseases
D36,Non-communicable diseases,Non-communicable diseases
D37,Non-communicable diseases,Non-communicable diseases
D38,Non-communicable diseases,Non-communicable diseases
D39,Non-communicable diseases,Non-communicable diseases
D40,Non-communicable diseases,Non-communicable diseases
D41,Non-communicable diseases,Non-communicable diseases
D42,Non-communicable diseases,Non-communicable diseases
D43,Non-communicable diseases,Non-communicable diseases
D44,Non-communicable diseases,Non-communicable diseases
D45,Non-communicable diseases,Non-communicable diseases
D46,Non-communicable diseases,Non-communicable diseases
D47,Non-communicable diseases,Non-communicable diseases
D48,Non-communicable diseases,Non-communicable diseases
D49,Non-communicable diseases,Non-communicable diseases
D55,Non-communicable diseases,Non-communicable diseases
D56,Non-communicable diseases,Non-communicable diseases
D57,Non-communicable diseases,Non-communicable diseases
D58,Non-communicable diseases,Non-communicable diseases
D59,Non-communicable diseases,Non-communicable diseases
D60,Non-communicable diseases,Non-communicable diseases
D61,Non-communicable diseases,Non-communicable diseases
D63,Non-communicable diseases,Non-communicable diseases
D64,Non-communicable diseases,Non-communicable diseases
D66,Non-communicable diseases,Non-communicable diseases
D67,Non-communicable diseases,Non-communicable diseases
D68,Non-communicable diseases,Non-communicable diseases
D69,Non-communicable diseases,Non-communicable diseases
D70,Non-communicable diseases,Non-communicable diseases
D71,Non-communicable diseases,Non-communicable diseases
D72,Non-communicable diseases,Non-communicable diseases
D73,Non-communicable diseases,Non-communicable diseases
D74,Non-communicable diseases,Non-communicable diseases
D75,Non-communicable diseases,Non-communicable diseases
D76,Non-communicable diseases,Non-communicable diseases
D77,Non-communicable diseases,Non-communicable diseases
D86,Non-communicable diseases,Non-communicable diseases
D89,Non-communicable diseases,Non-communicable diseases
E03,Non-communicable diseases,Non-communicable diseases
E04,Non-communicable diseases,Non-communicable diseases
E05,Non-communicable diseases,Non-communicable diseases
E06,Non-communicable diseases,Non-communicable diseases
E07,Non-communicable diseases,Non-communicable diseases
E10,Non-communicable diseases,Non-communicable diseases
E11,Non-communicable diseases,Non-communicable diseases
E16,Non-communicable diseases,Non-communicable diseases
E20,Non-communicable diseases,Non-communicable diseases
E21,Non-communicable diseases,Non-communicable diseases
E22,Non-communicable diseases,Non-communicable diseases
E23,Non-communicable diseases,Non-communicable diseases
E24,Non-communicable diseases,Non-communicable diseases
E25,Non-communicable diseases,Non-communicable diseases
E26,Non-communicable diseases,Non-communicable diseases
E27,Non-communicable diseases,Non-communicable diseases
E28,Non-communicable diseases,Non-communicable diseases
E29,Non-communicable diseases,Non-communicable diseases
E30,Non-communicable diseases,Non-communicable diseases
E31,Non-communicable diseases,Non-communicable diseases
E32,Non-communicable diseases,Non-communicable diseases
E33,Non-communicable diseases,Non-communicable diseases
E34,Non-communicable diseases,Non-communicable diseases
E65,Non-communicable diseases,Non-communicable diseases
E66,Non-communicable diseases,Non-communicable diseases
E67,Non-communicable diseases,Non-communicable diseases
E68,Non-communicable diseases,Non-communicable diseases
E70,Non-communicable diseases,Non-communicable diseases
E71,Non-communicable diseases,Non-communicable diseases
E72,Non-communicable diseases,Non-communicable diseases
E73,Non-communicable diseases,Non-communicable diseases
E74,Non-communicable diseases,Non-communicable diseases
E75,Non-communicable diseases,Non-communicable diseases
E76,Non-communicable diseases,Non-communicable diseases
E77,Non-communicable diseases,Non-communicable diseases
E78,Non-communicable diseases,Non-communicable diseases
E79,Non-communicable diseases,Non-communicable diseases
E80,Non-communicable diseases,Non-communicable diseases
E81,Non-communicable diseases,Non-communicable diseases
E82,Non-communicable diseases,Non-communicable diseases
E83,Non-communicable diseases,Non-communicable diseases
E84,Non-communicable diseases,Non-communicable diseases
E85,Non-communicable diseases,Non-communicable diseases
E88,Non-communicable diseases,Non-communicable diseases
F00,Non-communicable diseases,Non-communicable diseases
F01,Non-communicable diseases,Non-communicable diseases
F02,Non-communicable diseases,Non-communicable diseases
F03,Non-communicable diseases,Non-communicable diseases
F10,Non-communicable diseases,Non-communicable diseases
F11,Non-communicable diseases,Non-communicable diseases
F12,Non-communicable diseases,Non-communicable diseases
F13,Non-communicable diseases,Non-communicable diseases
F14,Non-communicable diseases,Non-communicable diseases
F15,Non-communicable diseases,Non-communicable diseases
F16,Non-communicable diseases,Non-communicable diseases
F18,Non-communicable diseases,Non-communicable diseases
F24,Non-communicable diseases,Non-communicable diseases
F50,Non-communicable diseases,Non-communicable diseases
G10,Non-communicable diseases,Non-communicable diseases
G11,Non-communicable diseases,Non-communicable diseases
G12,Non-communicable diseases,Non-communicable diseases
G13,Non-communicable diseases,Non-communicable diseases
G20,Non-communicable diseases,Non-communicable diseases
G23,Non-communicable diseases,Non-communicable diseases
G24,Non-communicable diseases,Non-communicable diseases
G25,Non-communicable diseases,Non-communicable diseases
G26,Non-communicable diseases,Non-communicable diseases
G30,Non-communicable diseases,Non-communicable diseases
G31,Non-communicable diseases,Non-communicable diseases
G35,Non-communicable diseases,Non-communicable diseases
G36,Non-communicable diseases,Non-communicable diseases
G37,Non-communicable diseases,Non-communicable diseases
G40,Non-communicable diseases,Non-communicable diseases
G41,Non-communicable diseases,Non-communicable diseases
G45,Non-communicable diseases,Non-communicable diseases
G46,Non-communicable diseases,Non-communicable diseases
G47,Non-communicable diseases,Non-communicable diseases
G61,Non-communicable diseases,Non-communicable diseases
G62,Non-communicable diseases,Non-communicable diseases
G70,Non-communicable diseases,Non-communicable diseases
G71,Non-communicable diseases,Non-communicable diseases
G72,Non-communicable diseases,Non-communicable diseases
G73,Non-communicable diseases,Non-communicable diseases
G90,Non-communicable diseases,Non-communicable diseases
G95,Non-communicable diseases,Non-communicable diseases
H05,Non-communicable diseases,Non-communicable diseases
I01,Non-communicable diseases,Non-communicable diseases
I02,Non-communicable diseases,Non-communicable diseases
I05,Non-communicable diseases,Non-communicable diseases
I06,Non-communicable diseases,Non-communicable diseases
I07,Non-communicable diseases,Non-communicable diseases
I08,Non-communicable diseases,Non-communicable diseases
I09,Non-communicable diseases,Non-communicable diseases
I11,Non-communicable diseases,Non-communicable diseases
I12,Non-communicable diseases,Non-communicable diseases
I13,Non-communicable diseases,Non-communicable diseases
I20,Non-communicable diseases,Non-communicable diseases
I21,Non-communicable diseases,Non-communicable diseases
I22,Non-communicable diseases,Non-communicable diseases
I23,Non-communicable diseases,Non-communicable diseases
I24,Non-communicable diseases,Non-communicable diseases
I25,Non-communicable diseases,Non-communicable diseases
I27,Non-communicable diseases,Non-communicable diseases
I28,Non-communicable diseases,Non-communicable diseases
I30,Non-communicable diseases,Non-communicable diseases
I31,Non-communicable diseases,Non-communicable diseases
I32,Non-communicable diseases,Non-communicable diseases
I33,Non-communicable diseases,Non-communicable diseases
I34,Non-communicable diseases,Non-communicable diseases
I35,Non-communicable diseases,Non-communicable diseases
I36,Non-communicable diseases,Non-communicable diseases
I37,Non-communicable diseases,Non-communicable diseases
I38,Non-communicable diseases,Non-communicable diseases
I39,Non-communicable diseases,Non-communicable diseases
I40,Non-communicable diseases,Non-communicable diseases
I41,Non-communicable diseases,Non-communicable diseases
I42,Non-communicable diseases,Non-communicable diseases
I43,Non-communicable diseases,Non-communicable diseases
I47,Non-communicable diseases,Non-communicable diseases
I48,Non-communicable diseases,Non-communicable diseases
I51,Non-communicable diseases,Non-communicable diseases
I60,Non-communicable diseases,Non-communicable diseases
I61,Non-communicable diseases,Non-communicable diseases
I62,Non-communicable diseases,Non-communicable diseases
I63,Non-communicable diseases,Non-communicable diseases
I65,Non-communicable diseases,Non-communicable diseases
I66,Non-communicable diseases,Non-communicable diseases
I67,Non-communicable diseases,Non-communicable diseases
I68,Non-communicable diseases,Non-communicable diseases
I69,Non-communicable diseases,Non-communicable diseases
I70,Non-communicable diseases,Non-communicable diseases
I71,Non-communicable diseases,Non-communicable diseases
I72,Non-communicable diseases,Non-communicable diseases
I73,Non-communicable diseases,Non-communicable diseases
I77,Non-communicable diseases,Non-communicable diseases
I78,Non-communicable diseases,Non-communicable diseases
I79,Non-communicable diseases,Non-communicable diseases
I80,Non-communicable diseases,Non-communicable diseases
I81,Non-communicable diseases,Non-communicable diseases
I82,Non-communicable diseases,Non-communicable diseases
I83,Non-communicable diseases,Non-communicable diseases
I84,Non-communicable diseases,Non-communicable diseases
I85,Non-communicable diseases,Non-communicable diseases
I86,Non-communicable diseases,Non-communicable diseases
I87,Non-communicable diseases,Non-communicable diseases
I88,Non-communicable diseases,Non-communicable diseases
I89,Non-communicable diseases,Non-communicable diseases
I98,Non-communicable diseases,Non-communicable diseases
J30,Non-communicable diseases,Non-communicable diseases
J31,Non-communicable diseases,Non-communicable diseases
J32,Non-communicable diseases,Non-communicable diseases
J33,Non-communicable diseases,Non-communicable diseases
J34,Non-communicable diseases,Non-communicable diseases
J35,Non-communicable diseases,Non-communicable diseases
J37,Non-communicable diseases,Non-communicable diseases
J38,Non-communicable diseases,Non-communicable diseases
J39,Non-communicable diseases,Non-communicable diseases
J41,Non-communicable diseases,Non-communicable diseases
J42,Non-communicable diseases,Non-communicable diseases
J43,Non-communicable diseases,Non-communicable diseases
J44,Non-communicable diseases,Non-communicable diseases
J45,Non-communicable diseases,Non-communicable diseases
J46,Non-communicable diseases,Non-communicable diseases
J60,Non-communicable diseases,Non-communicable diseases
J61,Non-communicable diseases,Non-communicable diseases
J62,Non-communicable diseases,Non-communicable diseases
J63,Non-communicable diseases,Non-communicable diseases
J66,Non-communicable diseases,Non-communicable diseases
J67,Non-communicable diseases,Non-communicable diseases
J68,Non-communicable diseases,Non-communicable diseases
J70,Non-communicable diseases,Non-communicable diseases
J82,Non-communicable diseases,Non-communicable diseases
J84,Non-communicable diseases,Non-communicable diseases
J91,Non-communicable diseases,Non-communicable diseases
J92,Non-communicable diseases,Non-communicable diseases
K20,Non-communicable diseases,Non-communicable diseases
K22,Non-communicable diseases,Non-communicable diseases
K23,Non-communicable diseases,Non-communicable diseases
K24,Non-communicable diseases,Non-communicable diseases
K25,Non-communicable diseases,Non-communicable diseases
K26,Non-communicable diseases,Non-communicable diseases
K27,Non-communicable diseases,Non-communicable diseases
K28,Non-communicable diseases,Non-communicable diseases
K29,Non-communicable diseases,Non-communicable diseases
K31,Non-communicable diseases,Non-communicable diseases
K35,Non-communicable diseases,Non-communicable diseases
K36,Non-communicable diseases,Non-communicable diseases
K37,Non-communicable diseases,Non-communicable diseases
K38,Non-communicable diseases,Non-communicable diseases
K40,Non-communicable diseases,Non-communicable diseases
K41,Non-communicable diseases,Non-communicable diseases
K42,Non-communicable diseases,Non-communicable diseases
K44,Non-communicable diseases,Non-communicable diseases
K45,Non-communicable diseases,Non-communicable diseases
K46,Non-communicable diseases,Non-communicable diseases
K50,Non-communicable diseases,Non-communicable diseases
K51,Non-communicable diseases,Non-communicable diseases
K52,Non-communicable diseases,Non-communicable diseases
K55,Non-communicable diseases,Non-communicable diseases
K56,Non-communicable diseases,Non-communicable diseases
K57,Non-communicable diseases,Non-communicable diseases
K58,Non-communicable diseases,Non-communicable diseases
K59,Non-communicable diseases,Non-communicable diseases
K60,Non-communicable diseases,Non-communicable diseases
K61,Non-communicable diseases,Non-communicable diseases
K62,Non-communicable diseases,Non-communicable diseases
K63,Non-communicable diseases,Non-communicable diseases
K64,Non-communicable diseases,Non-communicable diseases
K66,Non-communicable diseases,Non-communicable diseases
K67,Non-communicable diseases,Non-communicable diseases
K68,Non-communicable diseases,Non-communicable diseases
K70,Non-communicable diseases,Non-communicable diseases
K71,Non-communicable diseases,Non-communicable diseases
K73,Non-communicable diseases,Non-communicable diseases
K74,Non-communicable diseases,Non-communicable diseases
K75,Non-communicable diseases,Non-communicable diseases
K76,Non-communicable diseases,Non-communicable diseases
K77,Non-communicable diseases,Non-communicable diseases
K80,Non-communicable diseases,Non-communicable diseases
K81,Non-communicable diseases,Non-communicable diseases
K82,Non-communicable diseases,Non-communicable diseases
K83,Non-communicable diseases,Non-communicable diseases
K85,Non-communicable diseases,Non-communicable diseases
K86,Non-communicable diseases,Non-communicable diseases
K90,Non-communicable diseases,Non-communicable diseases
K92,Non-communicable diseases,Non-communicable diseases
K93,Non-communicable diseases,Non-communicable diseases
L00,Non-communicable diseases,Non-communicable diseases
L01,Non-communicable diseases,Non-communicable diseases
L02,Non-communicable diseases,Non-communicable diseases
L03,Non-communicable diseases,Non-communicable diseases
L04,Non-communicable diseases,Non-communicable diseases
L05,Non-communicable diseases,Non-communicable diseases
L08,Non-communicable diseases,Non-communicable diseases
L10,Non-communicable diseases,Non-communicable diseases
L11,Non-communicable diseases,Non-communicable diseases
L12,Non-communicable diseases,Non-communicable diseases
L13,Non-communicable diseases,Non-communicable diseases
L14,Non-communicable diseases,Non-communicable diseases
L51,Non-communicable diseases,Non-communicable diseases
