ICD10,ICD10 Name,USCOD,USCOD name,
D01.9 ,"Digestive organ, unspecified ",B_1_4,Digestive Cancers,
D02 ,Carcinoma in situ of middle ear and respiratory system ,B_1_1,Lung Cancer,
D02.0 ,Larynx ,B_1_1,Lung Cancer,
D02.1 ,Trachea ,B_1_1,Lung Cancer,
D02.2 ,Bronchus and lung ,B_1_1,Lung Cancer,
D02.3 ,Other parts of respiratory system ,B_1_1,Lung Cancer,
D02.4 ,"Respiratory system, unspecified ",B_1_1,Lung Cancer,
D03 ,Melanoma in situ ,B_1_6,Other Cancers,
D03.0 ,Melanoma in situ of lip ,B_1_6,Other Cancers,
D03.1 ,"Melanoma in situ of eyelid, including canthus ",B_1_6,Other Cancers,
D03.2 ,Melanoma in situ of ear and external auricular canal ,B_1_6,Other Cancers,
D03.3 ,Melanoma in situ of other and unspecified parts of face ,B_1_6,Other Cancers,
D03.4 ,Melanoma in situ of scalp and neck ,B_1_6,Other Cancers,
D03.5 ,Melanoma in situ of trunk ,B_1_6,Other Cancers,
D03.6 ,"Melanoma in situ of upper limb, including shoulder ",B_1_6,Other Cancers,
D03.7 ,"Melanoma in situ of lower limb, including hip ",B_1_6,Other Cancers,
D03.8 ,Melanoma in situ of other sites ,B_1_6,Other Cancers,
D03.9 ,"Melanoma in situ, unspecified ",B_1_6,Other Cancers,
D04 ,Carcinoma in situ of skin ,B_1_6,Other Cancers,
D04.0 ,Skin of lip ,B_1_6,Other Cancers,
D04.1 ,"Skin of eyelid, including canthus ",B_1_6,Other Cancers,
D04.2 ,Skin of ear and external auricular canal ,B_1_6,Other Cancers,
D04.3 ,Skin of other and unspecified parts of face ,B_1_6,Other Cancers,
D04.4 ,Skin of scalp and neck ,B_1_6,Other Cancers,
D04.5 ,Skin of trunk ,B_1_6,Other Cancers,
D04.6 ,"Skin of upper limb, including shoulder ",B_1_6,Other Cancers,
D04.7 ,"Skin of lower limb, including hip ",B_1_6,Other Cancers,
D04.8 ,Skin of other sites ,B_1_6,Other Cancers,
D04.9 ,"Skin, unspecified ",B_1_6,Other Cancers,
D05 ,Carcinoma in situ of breast ,B_1_3,Breast Cancer,
D05.0 ,Lobular carcinoma in situ ,B_1_3,Breast Cancer,
D05.1 ,Intraductal carcinoma in situ ,B_1_3,Breast Cancer,
D05.7 ,Other carcinoma in situ of breast ,B_1_3,Breast Cancer,
D05.9 ,"Carcinoma in situ of breast, unspecified ",B_1_3,Breast Cancer,
D06 ,Carcinoma in situ of cervix uteri ,B_1_6,Other Cancers,
D06.0 ,Endocervix ,B_1_6,Other Cancers,
D06.1 ,Exocervix ,B_1_6,Other Cancers,
D06.7 ,Other parts of cervix ,B_1_6,Other Cancers,
D06.9 ,"Cervix, unspecified ",B_1_6,Other Cancers,
D07 ,Carcinoma in situ of other and unspecified genital organs ,B_1_6,Other Cancers,
D07.0 ,Endometrium ,B_1_6,Other Cancers,
D07.1 ,Vulva ,B_1_6,Other Cancers,
D07.2 ,Vagina ,B_1_6,Other Cancers,
D07.3 ,Other and unspecified female genital organs ,B_1_6,Other Cancers,
D07.4 ,Penis ,B_1_6,Other Cancers,
D07.5 ,Prostate ,B_1_6,Other Cancers,
D07.6 ,Other and unspecified male genital organs ,B_1_6,Other Cancers,
D09 ,Carcinoma in situ of other and unspecified sites ,B_1_6,Other Cancers,
D09.0 ,Bladder ,B_1_6,Other Cancers,
D09.1 ,Other and unspecified urinary organs ,B_1_6,Other Cancers,
D09.2 ,Eye ,B_1_6,Other Cancers,
D09.3 ,Thyroid and other endocrine glands ,B_1_6,Other Cancers,
D09.7 ,Carcinoma in situ of other specified sites ,B_1_6,Other Cancers,
D09.9 ,"Carcinoma in situ, unspecified ",G_3,Ill-Defined Cancer,
D10 ,Benign neoplasm of mouth and pharynx ,B_1_4,Digestive Cancers,
D10.0 ,Lip ,B_1_4,Digestive Cancers,
D10.1 ,Tongue ,B_1_4,Digestive Cancers,
D10.2 ,Floor of mouth ,B_1_4,Digestive Cancers,
D10.3 ,Other and unspecified parts of mouth ,B_1_4,Digestive Cancers,
D10.4 ,Tonsil ,B_1_4,Digestive Cancers,
D10.5 ,Other parts of oropharynx ,B_1_4,Digestive Cancers,
D10.6 ,Nasopharynx ,B_1_4,Digestive Cancers,
D10.7 ,Hypopharynx ,B_1_4,Digestive Cancers,
D10.9 ,"Pharynx, unspecified ",B_1_4,Digestive Cancers,
D11 ,Benign neoplasm of major salivary glands ,B_1_4,Digestive Cancers,
D11.0 ,Parotid gland ,B_1_4,Digestive Cancers,
D11.7 ,Other major salivary glands ,B_1_4,Digestive Cancers,
D11.9 ,"Major salivary gland, unspecified ",B_1_4,Digestive Cancers,
D12 ,"Benign neoplasm of colon, rectum, anus and anal canal ",B_1_4,Digestive Cancers,
D12.0 ,Caecum ,B_1_4,Digestive Cancers,
D12.1 ,Appendix ,B_1_4,Digestive Cancers,
D12.2 ,Ascending colon ,B_1_4,Digestive Cancers,
D12.3 ,Transverse colon ,B_1_4,Digestive Cancers,
D12.4 ,Descending colon ,B_1_4,Digestive Cancers,
D12.5 ,Sigmoid colon ,B_1_4,Digestive Cancers,
D12.6 ,"Colon, unspecified ",B_1_4,Digestive Cancers,
D12.7 ,Rectosigmoid junction ,B_1_4,Digestive Cancers,
D12.8 ,Rectum ,B_1_4,Digestive Cancers,
D12.9 ,Anus and anal canal ,B_1_4,Digestive Cancers,
D13 ,Benign neoplasm of other and ill-defined parts of digestive system ,B_1_4,Digestive Cancers,
D13.0 ,Oesophagus ,B_1_4,Digestive Cancers,
D13.1 ,Stomach ,B_1_4,Digestive Cancers,
D13.2 ,Duodenum ,B_1_4,Digestive Cancers,
D13.3 ,Other and unspecified parts of small intestine ,B_1_4,Digestive Cancers,
D13.4 ,Liver ,B_1_2,Liver Cancer,
D13.5 ,Extrahepatic bile ducts ,B_1_4,Digestive Cancers,
D13.6 ,Pancreas ,B_1_4,Digestive Cancers,
D13.7 ,Endocrine pancreas ,B_1_4,Digestive Cancers,
D13.9 ,Ill-defined sites within the digestive system ,B_1_4,Digestive Cancers,
D14 ,Benign neoplasm of middle ear and respiratory system ,B_1_1,Lung Cancer,
D14.0 ,"Middle ear, nasal cavity and accessory sinuses ",B_1_6,Other Cancers,
D14.1 ,Larynx ,B_1_1,Lung Cancer,
D14.2 ,Trachea ,B_1_1,Lung Cancer,
D14.3 ,Bronchus and lung ,B_1_1,Lung Cancer,
D14.4 ,"Respiratory system, unspecified ",B_1_1,Lung Cancer,
D15 ,Benign neoplasm of other and unspecified intrathoracic organs ,B_1_6,Other Cancers,
D15.0 ,Thymus ,B_1_6,Other Cancers,
D15.1 ,Heart ,B_1_6,Other Cancers,
D15.2 ,Mediastinum ,B_1_6,Other Cancers,
D15.7 ,Other specified intrathoracic organs ,B_1_6,Other Cancers,
D15.9 ,"Intrathoracic organ, unspecified ",B_1_6,Other Cancers,
D16 ,Benign neoplasm of bone and articular cartilage ,B_1_6,Other Cancers,
D16.0 ,Scapula and long bones of upper limb ,B_1_6,Other Cancers,
D16.1 ,Short bones of upper limb ,B_1_6,Other Cancers,
D16.2 ,Long bones of lower limb ,B_1_6,Other Cancers,
D16.3 ,Short bones of lower limb ,B_1_6,Other Cancers,
D16.4 ,Bones of skull and face ,B_1_6,Other Cancers,
D16.5 ,Lower jaw bone ,B_1_6,Other Cancers,
D16.6 ,Vertebral column ,B_1_6,Other Cancers,
D16.7 ,"Ribs, sternum and clavicle ",B_1_6,Other Cancers,
D16.8 ,"Pelvic bones, sacrum and coccyx ",B_1_6,Other Cancers,
D16.9 ,"Bone and articular cartilage, unspecified ",B_1_6,Other Cancers,
D17 ,Benign lipomatous neoplasm ,B_1_6,Other Cancers,
D17.0 ,"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck ",B_1_6,Other Cancers,
D17.1 ,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk ,B_1_6,Other Cancers,
D17.2 ,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs ,B_1_6,Other Cancers,
D17.3 ,Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites ,B_1_6,Other Cancers,
D17.4 ,Benign lipomatous neoplasm of intrathoracic organs ,B_1_6,Other Cancers,
D17.5 ,Benign lipomatous neoplasm of intra-abdominal organs ,B_1_6,Other Cancers,
D17.6 ,Benign lipomatous neoplasm of spermatic cord ,B_1_6,Other Cancers,
D17.7 ,Benign lipomatous neoplasm of other sites ,B_1_6,Other Cancers,
D17.9 ,"Benign lipomatous neoplasm, unspecified ",B_1_6,Other Cancers,
D18 ,"Haemangioma and lymphangioma, any site ",B_1_6,Other Cancers,
D18.0 ,"Haemangioma, any site ",B_1_6,Other Cancers,
D18.1 ,"Lymphangioma, any site ",B_1_6,Other Cancers,
D19 ,Benign neoplasm of mesothelial tissue ,B_1_6,Other Cancers,
D19.0 ,Mesothelial tissue of pleura ,B_1_6,Other Cancers,
D19.1 ,Mesothelial tissue of peritoneum ,B_1_6,Other Cancers,
D19.7 ,Mesothelial tissue of other sites ,B_1_6,Other Cancers,
D19.9 ,"Mesothelial tissue, unspecified ",B_1_6,Other Cancers,
D20 ,Benign neoplasm of soft tissue of retroperitoneum and peritoneum ,B_1_6,Other Cancers,
D20.0 ,Retroperitoneum ,B_1_6,Other Cancers,
D20.1 ,Peritoneum ,B_1_6,Other Cancers,
D21 ,Other benign neoplasms of connective and other soft tissue ,B_1_6,Other Cancers,
D21.0 ,"Connective and other soft tissue of head, face and neck ",B_1_6,Other Cancers,
D21.1 ,"Connective and other soft tissue of upper limb, including shoulder ",B_1_6,Other Cancers,
D21.2 ,"Connective and other soft tissue of lower limb, including hip ",B_1_6,Other Cancers,
D21.3 ,Connective and other soft tissue of thorax ,B_1_6,Other Cancers,
D21.4 ,Connective and other soft tissue of abdomen ,B_1_6,Other Cancers,
D21.5 ,Connective and other soft tissue of pelvis ,B_1_6,Other Cancers,
D21.6 ,"Connective and other soft tissue of trunk, unspecified ",B_1_6,Other Cancers,
D21.9 ,"Connective and other soft tissue, unspecified ",B_1_6,Other Cancers,
D22 ,Melanocytic naevi ,B_1_6,Other Cancers,
D22.0 ,Melanocytic naevi of lip ,B_1_6,Other Cancers,
D22.1 ,"Melanocytic naevi of eyelid, including canthus ",B_1_6,Other Cancers,
D22.2 ,Melanocytic naevi of ear and external auricular canal ,B_1_6,Other Cancers,
D22.3 ,Melanocytic naevi of other and unspecified parts of face ,B_1_6,Other Cancers,
D22.4 ,Melanocytic naevi of scalp and neck ,B_1_6,Other Cancers,
D22.5 ,Melanocytic naevi of trunk ,B_1_6,Other Cancers,
D22.6 ,"Melanocytic naevi of upper limb, including shoulder ",B_1_6,Other Cancers,
D22.7 ,"Melanocytic naevi of lower limb, including hip ",B_1_6,Other Cancers,
D22.9 ,"Melanocytic naevi, unspecified ",B_1_6,Other Cancers,
D23 ,Other benign neoplasms of skin ,B_1_6,Other Cancers,
D23.0 ,Skin of lip ,B_1_6,Other Cancers,
D23.1 ,"Skin of eyelid, including canthus ",B_1_6,Other Cancers,
D23.2 ,Skin of ear and external auricular canal ,B_1_6,Other Cancers,
D23.3 ,Skin of other and unspecified parts of face ,B_1_6,Other Cancers,
D23.4 ,Skin of scalp and neck ,B_1_6,Other Cancers,
D23.5 ,Skin of trunk ,B_1_6,Other Cancers,
D23.6 ,"Skin of upper limb, including shoulder ",B_1_6,Other Cancers,
D23.7 ,"Skin of lower limb, including hip ",B_1_6,Other Cancers,
D23.9 ,"Skin, unspecified ",B_1_6,Other Cancers,
D24 ,Benign neoplasm of breast ,B_1_6,Other Cancers,
D25 ,Leiomyoma of uterus ,B_1_6,Other Cancers,
D25.0 ,Submucous leiomyoma of uterus ,B_1_6,Other Cancers,
D25.1 ,Intramural leiomyoma of uterus ,B_1_6,Other Cancers,
D25.2 ,Subserosal leiomyoma of uterus ,B_1_6,Other Cancers,
D25.9 ,"Leiomyoma of uterus, unspecified ",B_1_6,Other Cancers,
D26 ,Other benign neoplasms of uterus ,B_1_6,Other Cancers,
D26.0 ,Cervix uteri ,B_1_6,Other Cancers,
D26.1 ,Corpus uteri ,B_1_6,Other Cancers,
D26.7 ,Other parts of uterus ,B_1_6,Other Cancers,
D26.9 ,"Uterus, unspecified ",B_1_6,Other Cancers,
D27 ,Benign neoplasm of ovary ,B_1_6,Other Cancers,
D28 ,Benign neoplasm of other and unspecified female genital organs ,B_1_6,Other Cancers,
D28.0 ,Vulva ,B_1_6,Other Cancers,
D28.1 ,Vagina ,B_1_6,Other Cancers,
D28.2 ,Uterine tubes and ligaments ,B_1_6,Other Cancers,
D28.7 ,Other specified female genital organs ,B_1_6,Other Cancers,
D28.9 ,"Female genital organ, unspecified ",B_1_6,Other Cancers,
D29 ,Benign neoplasm of male genital organs ,B_1_6,Other Cancers,
D29.0 ,Penis ,B_1_6,Other Cancers,
D29.1 ,Prostate ,B_1_6,Other Cancers,
D29.2 ,Testis ,B_1_6,Other Cancers,
D29.3 ,Epididymis ,B_1_6,Other Cancers,
D29.4 ,Scrotum ,B_1_6,Other Cancers,
D29.7 ,Other male genital organs ,B_1_6,Other Cancers,
D29.9 ,"Male genital organ, unspecified ",B_1_6,Other Cancers,
D30 ,Benign neoplasm of urinary organs ,B_1_6,Other Cancers,
D30.0 ,Kidney ,B_1_6,Other Cancers,
D30.1 ,Renal pelvis ,B_1_6,Other Cancers,
D30.2 ,Ureter ,B_1_6,Other Cancers,
D30.3 ,Bladder ,B_1_6,Other Cancers,
D30.4 ,Urethra ,B_1_6,Other Cancers,
D30.7 ,Other urinary organs ,B_1_6,Other Cancers,
D30.9 ,"Urinary organ, unspecified ",B_1_6,Other Cancers,
D31 ,Benign neoplasm of eye and adnexa ,B_1_6,Other Cancers,
D31.0 ,Conjunctiva ,B_1_6,Other Cancers,
D31.1 ,Cornea ,B_1_6,Other Cancers,
D31.2 ,Retina ,B_1_6,Other Cancers,
D31.3 ,Choroid ,B_1_6,Other Cancers,
D31.4 ,Ciliary body ,B_1_6,Other Cancers,
D31.5 ,Lacrimal gland and duct ,B_1_6,Other Cancers,
D31.6 ,"Orbit, unspecified ",B_1_6,Other Cancers,
D31.9 ,"Eye, unspecified ",B_1_6,Other Cancers,
D32 ,Benign neoplasm of meninges ,B_1_6,Other Cancers,
D32.0 ,Cerebral meninges ,B_1_6,Other Cancers,
D32.1 ,Spinal meninges ,B_1_6,Other Cancers,
D32.9 ,"Meninges, unspecified ",B_1_6,Other Cancers,
D33 ,Benign neoplasm of brain and other parts of central nervous system ,B_1_6,Other Cancers,
D33.0 ,"Brain, supratentorial ",B_1_6,Other Cancers,
D33.1 ,"Brain, infratentorial ",B_1_6,Other Cancers,
D33.2 ,"Brain, unspecified ",B_1_6,Other Cancers,
D33.3 ,Cranial nerves ,B_1_6,Other Cancers,
D33.4 ,Spinal cord ,B_1_6,Other Cancers,
D33.7 ,Other specified parts of central nervous system ,B_1_6,Other Cancers,
D33.9 ,"Central nervous system, unspecified ",B_1_6,Other Cancers,
D34 ,Benign neoplasm of thyroid gland ,B_1_6,Other Cancers,
D35 ,Benign neoplasm of other and unspecified endocrine glands ,B_1_6,Other Cancers,
D35.0 ,Adrenal gland ,B_1_6,Other Cancers,
D35.1 ,Parathyroid gland ,B_1_6,Other Cancers,
D35.2 ,Pituitary gland ,B_1_6,Other Cancers,
D35.3 ,Craniopharyngeal duct ,B_1_6,Other Cancers,
D35.4 ,Pineal gland ,B_1_6,Other Cancers,
D35.5 ,Carotid body ,B_1_6,Other Cancers,
D35.6 ,Aortic body and other paraganglia ,B_1_6,Other Cancers,
D35.7 ,Other specified endocrine glands ,B_1_6,Other Cancers,
D35.8 ,Pluriglandular involvement ,B_1_6,Other Cancers,
D35.9 ,"Endocrine gland, unspecified ",B_1_6,Other Cancers,
D36 ,Benign neoplasm of other and unspecified sites ,B_1_6,Other Cancers,
D36.0 ,Lymph nodes ,B_1_6,Other Cancers,
D36.1 ,Peripheral nerves and autonomic nervous system ,B_1_6,Other Cancers,
D36.7 ,Other specified sites ,B_1_6,Other Cancers,
D36.9 ,Benign neoplasm of unspecified site ,B_1_6,Other Cancers,
D37 ,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs ,B_1_4,Digestive Cancers,
D37.0 ,"Lip, oral cavity and pharynx ",B_1_4,Digestive Cancers,
D37.1 ,Stomach ,B_1_4,Digestive Cancers,
D37.2 ,Small intestine ,B_1_4,Digestive Cancers,
D37.3 ,Appendix ,B_1_4,Digestive Cancers,
D37.4 ,Colon ,B_1_4,Digestive Cancers,
D37.5 ,Rectum ,B_1_4,Digestive Cancers,
D37.6 ,"Liver, gallbladder and bile ducts ",B_1_2,Liver Cancer,
D37.7 ,Other digestive organs ,B_1_4,Digestive Cancers,
D37.9 ,"Digestive organ, unspecified ",B_1_4,Digestive Cancers,
D38 ,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs ,B_1_1,Lung Cancer,
D38.0 ,Larynx ,B_1_1,Lung Cancer,
D38.1 ,"Trachea, bronchus and lung ",B_1_1,Lung Cancer,
D38.2 ,Pleura ,B_1_1,Lung Cancer,
D38.3 ,Mediastinum ,B_1_1,Lung Cancer,
D38.4 ,Thymus ,B_1_1,Lung Cancer,
D38.5 ,Other respiratory organs ,B_1_1,Lung Cancer,
D38.6 ,"Respiratory organ, unspecified ",B_1_1,Lung Cancer,
D39 ,Neoplasm of uncertain or unknown behaviour of female genital organs ,B_1_6,Other Cancers,
D39.0 ,Uterus ,B_1_6,Other Cancers,
D39.1 ,Ovary ,B_1_6,Other Cancers,
D39.2 ,Placenta ,B_1_6,Other Cancers,
D39.7 ,Other female genital organs ,B_1_6,Other Cancers,
D39.9 ,"Female genital organ, unspecified ",B_1_6,Other Cancers,
D40 ,Neoplasm of uncertain or unknown behaviour of male genital organs ,B_1_6,Other Cancers,
D40.0 ,Prostate ,B_1_6,Other Cancers,
D40.1 ,Testis ,B_1_6,Other Cancers,
D40.7 ,Other male genital organs ,B_1_6,Other Cancers,
D40.9 ,"Male genital organ, unspecified ",B_1_6,Other Cancers,
D41 ,Neoplasm of uncertain or unknown behaviour of urinary organs ,B_1_6,Other Cancers,
D41.0 ,Kidney ,B_1_6,Other Cancers,
D41.1 ,Renal pelvis ,B_1_6,Other Cancers,
D41.2 ,Ureter ,B_1_6,Other Cancers,
D41.3 ,Urethra ,B_1_6,Other Cancers,
D41.4 ,Bladder ,B_1_6,Other Cancers,
D41.7 ,Other urinary organs ,B_1_6,Other Cancers,
D41.9 ,"Urinary organ, unspecified ",B_1_6,Other Cancers,
D42 ,Neoplasm of uncertain or unknown behaviour of meninges ,B_1_6,Other Cancers,
D42.0 ,Cerebral meninges ,B_1_6,Other Cancers,
D42.1 ,Spinal meninges ,B_1_6,Other Cancers,
D42.9 ,"Meninges, unspecified ",B_1_6,Other Cancers,
D43 ,Neoplasm of uncertain or unknown behaviour of brain and central nervous system ,B_1_6,Other Cancers,
D43.0 ,"Brain, supratentorial ",B_1_6,Other Cancers,
D43.1 ,"Brain, infratentorial ",B_1_6,Other Cancers,
D43.2 ,"Brain, unspecified ",B_1_6,Other Cancers,
D43.3 ,Cranial nerves ,B_1_6,Other Cancers,
D43.4 ,Spinal cord ,B_1_6,Other Cancers,
D43.7 ,Other parts of central nervous system ,B_1_6,Other Cancers,
D43.9 ,"Central nervous system, unspecified ",B_1_6,Other Cancers,
D44 ,Neoplasm of uncertain or unknown behaviour of endocrine glands ,B_1_6,Other Cancers,
D44.0 ,Thyroid gland ,B_1_6,Other Cancers,
D44.1 ,Adrenal gland ,B_1_6,Other Cancers,
D44.2 ,Parathyroid gland ,B_1_6,Other Cancers,
D44.3 ,Pituitary gland ,B_1_6,Other Cancers,
D44.4 ,Craniopharyngeal duct ,B_1_6,Other Cancers,
D44.5 ,Pineal gland ,B_1_6,Other Cancers,
D44.6 ,Carotid body ,B_1_6,Other Cancers,
D44.7 ,Aortic body and other paraganglia ,B_1_6,Other Cancers,
D44.8 ,Pluriglandular involvement ,B_1_6,Other Cancers,
D44.9 ,"Endocrine gland, unspecified ",B_1_6,Other Cancers,
D45 ,Polycythaemia vera ,B_1_6,Other Cancers,
D46 ,Myelodysplastic syndromes ,B_1_6,Other Cancers,
D46.0 ,"Refractory anaemia without sideroblasts, so stated ",B_1_6,Other Cancers,
D46.1 ,Refractory anaemia with sideroblasts ,B_1_6,Other Cancers,
D46.2 ,Refractory anaemia with excess of blasts ,B_1_6,Other Cancers,
D46.3 ,Refractory anaemia with excess of blasts with transformation ,B_1_6,Other Cancers,
D46.4 ,"Refractory anaemia, unspecified ",B_1_6,Other Cancers,
D46.7 ,Other myelodysplastic syndromes ,B_1_6,Other Cancers,
D46.9 ,"Myelodysplastic syndrome, unspecified ",B_1_6,Other Cancers,
D47 ,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue ",B_1_6,Other Cancers,
D47.0 ,Histiocytic and mast cell tumours of uncertain and unknown behaviour ,B_1_6,Other Cancers,
D47.1 ,Chronic myeloproliferative disease ,B_1_6,Other Cancers,
D47.2 ,Monoclonal gammopathy ,B_1_6,Other Cancers,
D47.3 ,Essential (haemorrhagic) thrombocythaemia ,B_1_6,Other Cancers,
D47.7 ,"Other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue ",B_1_6,Other Cancers,
D47.9 ,"Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified ",B_1_6,Other Cancers,
D48 ,Neoplasm of uncertain or unknown behaviour of other and unspecified sites ,B_1_6,Other Cancers,
D48.0 ,Bone and articular cartilage ,B_1_6,Other Cancers,
D48.1 ,Connective and other soft tissue ,B_1_6,Other Cancers,
D48.2 ,Peripheral nerves and autonomic nervous system ,B_1_6,Other Cancers,
D48.3 ,Retroperitoneum ,B_1_6,Other Cancers,
D48.4 ,Peritoneum ,B_1_6,Other Cancers,
D48.5 ,Skin ,B_1_6,Other Cancers,
D48.6 ,Breast ,B_1_3,Breast Cancer,
D48.7 ,Other specified sites ,B_1_6,Other Cancers,
D48.9 ,"Neoplasm of uncertain or unknown behaviour, unspecified ",G_3,Ill-Defined Cancer,
(C00-D48),Neoplasms,,,
D50 ,Iron deficiency anaemia ,A_5,Other Communicable,
D50.0 ,Iron deficiency anaemia secondary to blood loss (chronic) ,A_5,Other Communicable,
D50.1 ,Sideropenic dysphagia ,A_5,Other Communicable,
D50.8 ,Other iron deficiency anaemias ,A_5,Other Communicable,
D50.9 ,"Iron deficiency anaemia, unspecified ",A_5,Other Communicable,
D51 ,Vitamin B 12 deficiency anaemia ,A_5,Other Communicable,
D51.0 ,Vitamin B 12 deficiency anaemia due to intrinsic factor deficiency ,A_5,Other Communicable,
D51.1 ,Vitamin B 12 deficiency anaemia due to selective vitamin B 12 malabsorption with proteinuria ,A_5,Other Communicable,
D51.2 ,Transcobalamin II deficiency ,A_5,Other Communicable,
D51.3 ,Other dietary vitamin B 12 deficiency anaemia ,A_5,Other Communicable,
D51.8 ,Other vitamin B 12 deficiency anaemias ,A_5,Other Communicable,
D51.9 ,"Vitamin B 12 deficiency anaemia, unspecified ",A_5,Other Communicable,
D52 ,Folate deficiency anaemia ,A_5,Other Communicable,
D52.0 ,Dietary folate deficiency anaemia ,A_5,Other Communicable,
D52.1 ,Drug-induced folate deficiency anaemia ,A_5,Other Communicable,
D52.8 ,Other folate deficiency anaemias ,A_5,Other Communicable,
D52.9 ,"Folate deficiency anaemia, unspecified ",A_5,Other Communicable,
D53 ,Other nutritional anaemias ,A_5,Other Communicable,
D53.0 ,Protein deficiency anaemia ,A_5,Other Communicable,
D53.1 ,"Other megaloblastic anaemias, not elsewhere classified ",A_5,Other Communicable,
D53.2 ,Scorbutic anaemia ,A_5,Other Communicable,
D53.8 ,Other specified nutritional anaemias ,A_5,Other Communicable,
D53.9 ,"Nutritional anaemia, unspecified ",A_5,Other Communicable,
D55 ,Anaemia due to enzyme disorders ,B_7,Other NCDs,
D55.0 ,Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency ,B_7,Other NCDs,
D55.1 ,Anaemia due to other disorders of glutathione metabolism ,B_7,Other NCDs,
D55.2 ,Anaemia due to disorders of glycolytic enzymes ,B_7,Other NCDs,
D55.3 ,Anaemia due to disorders of nucleotide metabolism ,B_7,Other NCDs,
D55.8 ,Other anaemias due to enzyme disorders ,B_7,Other NCDs,
D55.9 ,"Anaemia due to enzyme disorder, unspecified ",B_7,Other NCDs,
D56 ,Thalassaemia ,B_7,Other NCDs,
D56.0 ,Alpha thalassaemia ,B_7,Other NCDs,
D56.1 ,Beta thalassaemia ,B_7,Other NCDs,
D56.2 ,Delta-beta thalassaemia ,B_7,Other NCDs,
D56.3 ,Thalassaemia trait ,B_7,Other NCDs,
D56.4 ,Hereditary persistence of fetal haemoglobin [HPFH] ,B_7,Other NCDs,
D56.8 ,Other thalassaemias ,B_7,Other NCDs,
D56.9 ,"Thalassaemia, unspecified ",B_7,Other NCDs,
D57 ,Sickle-cell disorders ,B_7,Other NCDs,
D57.0 ,Sickle-cell anaemia with crisis ,B_7,Other NCDs,
D57.1 ,Sickle-cell anaemia without crisis ,B_7,Other NCDs,
D57.2 ,Double heterozygous sickling disorders ,B_7,Other NCDs,
D57.3 ,Sickle-cell trait ,B_7,Other NCDs,
D57.8 ,Other sickle-cell disorders ,B_7,Other NCDs,
D58 ,Other hereditary haemolytic anaemias ,B_7,Other NCDs,
D58.0 ,Hereditary spherocytosis ,B_7,Other NCDs,
D58.1 ,Hereditary elliptocytosis ,B_7,Other NCDs,
D58.2 ,Other haemoglobinopathies ,B_7,Other NCDs,
D58.8 ,Other specified hereditary haemolytic anaemias ,B_7,Other NCDs,
D58.9 ,"Hereditary haemolytic anaemia, unspecified ",B_7,Other NCDs,
D59 ,Acquired haemolytic anaemia ,B_7,Other NCDs,
D59.0 ,Drug-induced autoimmune haemolytic anaemia ,B_7,Other NCDs,
D59.1 ,Other autoimmune haemolytic anaemias ,B_7,Other NCDs,
D59.2 ,Drug-induced nonautoimmune haemolytic anaemia ,B_7,Other NCDs,
D59.3 ,Haemolytic-uraemic syndrome ,B_7,Other NCDs,
D59.4 ,Other nonautoimmune haemolytic anaemias ,B_7,Other NCDs,
D59.5 ,Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli] ,B_7,Other NCDs,
D59.6 ,Haemoglobinuria due to haemolysis from other external causes ,B_7,Other NCDs,
D59.8 ,Other acquired haemolytic anaemias ,B_7,Other NCDs,
D59.9 ,"Acquired haemolytic anaemia, unspecified ",B_7,Other NCDs,
D60 ,Acquired pure red cell aplasia [erythroblastopenia] ,B_7,Other NCDs,
D60.0 ,Chronic acquired pure red cell aplasia ,B_7,Other NCDs,
D60.1 ,Transient acquired pure red cell aplasia ,B_7,Other NCDs,
D60.8 ,Other acquired pure red cell aplasias ,B_7,Other NCDs,
D60.9 ,"Acquired pure red cell aplasia, unspecified ",B_7,Other NCDs,
D61 ,Other aplastic anaemias ,B_7,Other NCDs,
D61.0 ,Constitutional aplastic anaemia ,B_7,Other NCDs,
D61.1 ,Drug-induced aplastic anaemia ,B_7,Other NCDs,
D61.2 ,Aplastic anaemia due to other external agents ,B_7,Other NCDs,
D61.3 ,Idiopathic aplastic anaemia ,B_7,Other NCDs,
D61.8 ,Other specified aplastic anaemias ,B_7,Other NCDs,
D61.9 ,"Aplastic anaemia, unspecified ",B_7,Other NCDs,
D62 ,Acute posthaemorrhagic anaemia ,B_7,Other NCDs,
D64 ,Other anaemias ,B_7,Other NCDs,
D64.0 ,Hereditary sideroblastic anaemia ,B_7,Other NCDs,
D64.1 ,Secondary sideroblastic anaemia due to disease ,B_7,Other NCDs,
