icd10,gbd_severity,description
R90.4,1,Abnormal findings on diagnostic imaging of central nervous system
R90.5,1,Abnormal findings on diagnostic imaging of central nervous system
R90.6,1,Abnormal findings on diagnostic imaging of central nervous system
R90.7,1,Abnormal findings on diagnostic imaging of central nervous system
R90.8,1,Other abnormal findings on diagnostic imaging of central nervous system
R90.9,1,Abnormal findings on diagnostic imaging of central nervous system
R91,1,Abnormal findings on diagnostic imaging of lung
R91.0,1,Abnormal findings on diagnostic imaging of lung
R91.1,1,Solitary pulmonary nodule
R91.2,1,Abnormal findings on diagnostic imaging of lung
R91.3,1,Abnormal findings on diagnostic imaging of lung
R91.4,1,Abnormal findings on diagnostic imaging of lung
R91.5,1,Abnormal findings on diagnostic imaging of lung
R91.6,1,Abnormal findings on diagnostic imaging of lung
R91.7,1,Abnormal findings on diagnostic imaging of lung
R91.8,1,Other nonspecific abnormal finding of lung field
R91.9,1,Abnormal findings on diagnostic imaging of lung
R92,1,Abnormal and inconclusive findings on diagnostic imaging of breast
R92.0,1,Mammographic microcalcification found on diagnostic imaging of breast
R92.1,1,Mammographic calcification found on diagnostic imaging of breast
R92.2,1,Inconclusive mammogram
R92.3,1,Abnormal and inconclusive findings on diagnostic imaging of breast
R92.4,1,Abnormal and inconclusive findings on diagnostic imaging of breast
R92.5,1,Abnormal and inconclusive findings on diagnostic imaging of breast
R92.6,1,Abnormal and inconclusive findings on diagnostic imaging of breast
R92.7,1,Abnormal and inconclusive findings on diagnostic imaging of breast
R92.8,1,Other abnormal and inconclusive findings on diagnostic imaging of breast
R92.9,1,Abnormal and inconclusive findings on diagnostic imaging of breast
R93,1,Abnormal findings on diagnostic imaging of other body structures
R93.0,1,"Abnormal findings on diagnostic imaging of skull and head, not elsewhere classified"
R93.1,1,Abnormal findings on diagnostic imaging of heart and coronary circulation
R93.2,1,Abnormal findings on diagnostic imaging of liver and biliary tract
R93.3,1,Abnormal findings on diagnostic imaging of other parts of digestive tract
R93.4,1,Abnormal findings on diagnostic imaging of urinary organs
R93.5,1,"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum"
R93.6,1,Abnormal findings on diagnostic imaging of limbs
R93.7,1,Abnormal findings on diagnostic imaging of other parts of musculoskeletal system
R93.8,1,Abnormal findings on diagnostic imaging of other specified body structures
R93.9,1,Diagnostic imaging inconclusive due to excess body fat of patient
R94,1,Abnormal results of function studies
R94.0,1,Abnormal results of function studies of central nervous system
R94.1,1,Abnormal results of function studies of peripheral nervous system and special senses
R94.2,1,Abnormal results of pulmonary function studies
R94.3,1,Abnormal results of cardiovascular function studies
R94.4,1,Abnormal results of kidney function studies
R94.5,1,Abnormal results of liver function studies
R94.6,1,Abnormal results of thyroid function studies
R94.7,1,Abnormal results of other endocrine function studies
R94.8,1,Abnormal results of function studies of other organs and systems
R96,1,NA
R96.0,1,NA
R96.1,1,NA
R96.2,1,NA
R96.3,1,NA
R96.4,1,NA
R96.5,1,NA
R96.6,1,NA
R96.7,1,NA
R96.8,1,NA
R96.9,1,NA
R97,1,Abnormal tumor markers
R97.0,1,Elevated carcinoembryonic antigen [CEA]
R97.1,1,Elevated cancer antigen 125 [CA 125]
R97.2,1,Elevated prostate specific antigen [PSA]
R97.3,1,Abnormal tumor markers
R97.4,1,Abnormal tumor markers
R97.5,1,Abnormal tumor markers
R97.6,1,Abnormal tumor markers
R97.7,1,Abnormal tumor markers
R97.8,1,Other abnormal tumor markers
R97.9,1,Abnormal tumor markers
R98,1,NA
R98.0,1,NA
R98.1,1,NA
R98.2,1,NA
R98.3,1,NA
R98.4,1,NA
R98.5,1,NA
R98.6,1,NA
R98.7,1,NA
R98.8,1,NA
R98.9,1,NA
R99,1,Ill-defined and unknown cause of mortality
R99.0,1,Ill-defined and unknown cause of mortality
R99.1,1,Ill-defined and unknown cause of mortality
R99.2,1,Ill-defined and unknown cause of mortality
R99.3,1,Ill-defined and unknown cause of mortality
R99.4,1,Ill-defined and unknown cause of mortality
R99.5,1,Ill-defined and unknown cause of mortality
R99.6,1,Ill-defined and unknown cause of mortality
R99.7,1,Ill-defined and unknown cause of mortality
R99.8,1,Ill-defined and unknown cause of mortality
R99.9,1,Ill-defined and unknown cause of mortality
U05,1,U-codes reserved / national use
U07,1,U-codes reserved / national use
U07.0,1,U-codes reserved / national use
U07.1,1,U-codes reserved / national use
U07.2,1,U-codes reserved / national use
U07.3,1,U-codes reserved / national use
U07.4,1,U-codes reserved / national use
U07.5,1,U-codes reserved / national use
U07.6,1,U-codes reserved / national use
U07.7,1,U-codes reserved / national use
U07.8,1,U-codes reserved / national use
U07.9,1,U-codes reserved / national use
U08,1,U-codes reserved / national use
U08.0,1,U-codes reserved / national use
U08.1,1,U-codes reserved / national use
U08.2,1,U-codes reserved / national use
U08.3,1,U-codes reserved / national use
U08.4,1,U-codes reserved / national use
U08.5,1,U-codes reserved / national use
U08.6,1,U-codes reserved / national use
U08.7,1,U-codes reserved / national use
U08.8,1,U-codes reserved / national use
U08.9,1,U-codes reserved / national use
U09,1,U-codes reserved / national use
U09.0,1,U-codes reserved / national use
U09.1,1,U-codes reserved / national use
U09.2,1,U-codes reserved / national use
U09.3,1,U-codes reserved / national use
U09.4,1,U-codes reserved / national use
U09.5,1,U-codes reserved / national use
U09.6,1,U-codes reserved / national use
U09.7,1,U-codes reserved / national use
U09.8,1,U-codes reserved / national use
U09.9,1,U-codes reserved / national use
U10,1,U-codes reserved / national use
U10.0,1,U-codes reserved / national use
U10.1,1,U-codes reserved / national use
U10.2,1,U-codes reserved / national use
U10.3,1,U-codes reserved / national use
U10.4,1,U-codes reserved / national use
U10.5,1,U-codes reserved / national use
U10.6,1,U-codes reserved / national use
U10.7,1,U-codes reserved / national use
U10.8,1,U-codes reserved / national use
U10.9,1,U-codes reserved / national use
U11,1,U-codes reserved / national use
U11.0,1,U-codes reserved / national use
U11.1,1,U-codes reserved / national use
U11.2,1,U-codes reserved / national use
U11.3,1,U-codes reserved / national use
U11.4,1,U-codes reserved / national use
U11.5,1,U-codes reserved / national use
U11.6,1,U-codes reserved / national use
U11.7,1,U-codes reserved / national use
U11.8,1,U-codes reserved / national use
U11.9,1,U-codes reserved / national use
U12,1,U-codes reserved / national use
U12.0,1,U-codes reserved / national use
U12.1,1,U-codes reserved / national use
U12.2,1,U-codes reserved / national use
U12.3,1,U-codes reserved / national use
U12.4,1,U-codes reserved / national use
U12.5,1,U-codes reserved / national use
U12.6,1,U-codes reserved / national use
U12.7,1,U-codes reserved / national use
U12.8,1,U-codes reserved / national use
U12.9,1,U-codes reserved / national use
U13,1,U-codes reserved / national use
U13.0,1,U-codes reserved / national use
U13.1,1,U-codes reserved / national use
U13.2,1,U-codes reserved / national use
U13.3,1,U-codes reserved / national use
U13.4,1,U-codes reserved / national use
U13.5,1,U-codes reserved / national use
U13.6,1,U-codes reserved / national use
U13.7,1,U-codes reserved / national use
U13.8,1,U-codes reserved / national use
U13.9,1,U-codes reserved / national use
U14,1,U-codes reserved / national use
U14.0,1,U-codes reserved / national use
U14.1,1,U-codes reserved / national use
U14.2,1,U-codes reserved / national use
U14.3,1,U-codes reserved / national use
U14.4,1,U-codes reserved / national use
U14.5,1,U-codes reserved / national use
U14.6,1,U-codes reserved / national use
U14.7,1,U-codes reserved / national use
U14.8,1,U-codes reserved / national use
U14.9,1,U-codes reserved / national use
U15,1,U-codes reserved / national use
U15.0,1,U-codes reserved / national use
U15.1,1,U-codes reserved / national use
U15.2,1,U-codes reserved / national use
U15.3,1,U-codes reserved / national use
U15.4,1,U-codes reserved / national use
U15.5,1,U-codes reserved / national use
U15.6,1,U-codes reserved / national use
U15.7,1,U-codes reserved / national use
U15.8,1,U-codes reserved / national use
U15.9,1,U-codes reserved / national use
U16,1,U-codes reserved / national use
U16.0,1,U-codes reserved / national use
U16.1,1,U-codes reserved / national use
U16.2,1,U-codes reserved / national use
U16.3,1,U-codes reserved / national use
U16.4,1,U-codes reserved / national use
U16.5,1,U-codes reserved / national use
U16.6,1,U-codes reserved / national use
U16.7,1,U-codes reserved / national use
U16.8,1,U-codes reserved / national use
U16.9,1,U-codes reserved / national use
U17,1,U-codes reserved / national use
U17.0,1,U-codes reserved / national use
U17.1,1,U-codes reserved / national use
U17.2,1,U-codes reserved / national use
U17.3,1,U-codes reserved / national use
U17.4,1,U-codes reserved / national use
U17.5,1,U-codes reserved / national use
U17.6,1,U-codes reserved / national use
U17.7,1,U-codes reserved / national use
U17.8,1,U-codes reserved / national use
U17.9,1,U-codes reserved / national use
U18,1,U-codes reserved / national use
U18.0,1,U-codes reserved / national use
U18.1,1,U-codes reserved / national use
U18.2,1,U-codes reserved / national use
U18.3,1,U-codes reserved / national use
U18.4,1,U-codes reserved / national use
U18.5,1,U-codes reserved / national use
U18.6,1,U-codes reserved / national use
U18.7,1,U-codes reserved / national use
U18.8,1,U-codes reserved / national use
U18.9,1,U-codes reserved / national use
U19,1,U-codes reserved / national use
U19.0,1,U-codes reserved / national use
U19.1,1,U-codes reserved / national use
U19.2,1,U-codes reserved / national use
U19.3,1,U-codes reserved / national use
U19.4,1,U-codes reserved / national use
U19.5,1,U-codes reserved / national use
U19.6,1,U-codes reserved / national use
U19.7,1,U-codes reserved / national use
U19.8,1,U-codes reserved / national use
U19.9,1,U-codes reserved / national use
U20,1,U-codes reserved / national use
U20.0,1,U-codes reserved / national use
U20.1,1,U-codes reserved / national use
U20.2,1,U-codes reserved / national use
U20.3,1,U-codes reserved / national use
U20.4,1,U-codes reserved / national use
U20.5,1,U-codes reserved / national use
U20.6,1,U-codes reserved / national use
U20.7,1,U-codes reserved / national use
U20.8,1,U-codes reserved / national use
U20.9,1,U-codes reserved / national use
U21,1,U-codes reserved / national use
U21.0,1,U-codes reserved / national use
U21.1,1,U-codes reserved / national use
U21.2,1,U-codes reserved / national use
U21.3,1,U-codes reserved / national use
U21.4,1,U-codes reserved / national use
U21.5,1,U-codes reserved / national use
U21.6,1,U-codes reserved / national use
U21.7,1,U-codes reserved / national use
U21.8,1,U-codes reserved / national use
U21.9,1,U-codes reserved / national use
U22,1,U-codes reserved / national use
U22.0,1,U-codes reserved / national use
U22.1,1,U-codes reserved / national use
U22.2,1,U-codes reserved / national use
U22.3,1,U-codes reserved / national use
U22.4,1,U-codes reserved / national use
U22.5,1,U-codes reserved / national use
U22.6,1,U-codes reserved / national use
U22.7,1,U-codes reserved / national use
U22.8,1,U-codes reserved / national use
U22.9,1,U-codes reserved / national use
U23,1,U-codes reserved / national use
U23.0,1,U-codes reserved / national use
U23.1,1,U-codes reserved / national use
U23.2,1,U-codes reserved / national use
U23.3,1,U-codes reserved / national use
U23.4,1,U-codes reserved / national use
U23.5,1,U-codes reserved / national use
U23.6,1,U-codes reserved / national use
U23.7,1,U-codes reserved / national use
U23.8,1,U-codes reserved / national use
U23.9,1,U-codes reserved / national use
U24,1,U-codes reserved / national use
U24.0,1,U-codes reserved / national use
U24.1,1,U-codes reserved / national use
U24.2,1,U-codes reserved / national use
U24.3,1,U-codes reserved / national use
U24.4,1,U-codes reserved / national use
U24.5,1,U-codes reserved / national use
U24.6,1,U-codes reserved / national use
U24.7,1,U-codes reserved / national use
U24.8,1,U-codes reserved / national use
U24.9,1,U-codes reserved / national use
U25,1,U-codes reserved / national use
U25.0,1,U-codes reserved / national use
U25.1,1,U-codes reserved / national use
U25.2,1,U-codes reserved / national use
U25.3,1,U-codes reserved / national use
U25.4,1,U-codes reserved / national use
U25.5,1,U-codes reserved / national use
U25.6,1,U-codes reserved / national use
U25.7,1,U-codes reserved / national use
U25.8,1,U-codes reserved / national use
U25.9,1,U-codes reserved / national use
U26,1,U-codes reserved / national use
U26.0,1,U-codes reserved / national use
U26.1,1,U-codes reserved / national use
U26.2,1,U-codes reserved / national use
U26.3,1,U-codes reserved / national use
U26.4,1,U-codes reserved / national use
U26.5,1,U-codes reserved / national use
U26.6,1,U-codes reserved / national use
U26.7,1,U-codes reserved / national use
U26.8,1,U-codes reserved / national use
U26.9,1,U-codes reserved / national use
U27,1,U-codes reserved / national use
U27.0,1,U-codes reserved / national use
U27.1,1,U-codes reserved / national use
U27.2,1,U-codes reserved / national use
U27.3,1,U-codes reserved / national use
U27.4,1,U-codes reserved / national use
U27.5,1,U-codes reserved / national use
U27.6,1,U-codes reserved / national use
U27.7,1,U-codes reserved / national use
U27.8,1,U-codes reserved / national use
U27.9,1,U-codes reserved / national use
U28,1,U-codes reserved / national use
U28.0,1,U-codes reserved / national use
U28.1,1,U-codes reserved / national use
U28.2,1,U-codes reserved / national use
U28.3,1,U-codes reserved / national use
U28.4,1,U-codes reserved / national use
U28.5,1,U-codes reserved / national use
U28.6,1,U-codes reserved / national use
U28.7,1,U-codes reserved / national use
U28.8,1,U-codes reserved / national use
U28.9,1,U-codes reserved / national use
U29,1,U-codes reserved / national use
U29.0,1,U-codes reserved / national use
U29.1,1,U-codes reserved / national use
U29.2,1,U-codes reserved / national use
U29.3,1,U-codes reserved / national use
U29.4,1,U-codes reserved / national use
U29.5,1,U-codes reserved / national use
U29.6,1,U-codes reserved / national use
U29.7,1,U-codes reserved / national use
U29.8,1,U-codes reserved / national use
U29.9,1,U-codes reserved / national use
U30,1,U-codes reserved / national use
U30.0,1,U-codes reserved / national use
U30.1,1,U-codes reserved / national use
U30.2,1,U-codes reserved / national use
U30.3,1,U-codes reserved / national use
U30.4,1,U-codes reserved / national use
U30.5,1,U-codes reserved / national use
U30.6,1,U-codes reserved / national use
U30.7,1,U-codes reserved / national use
U30.8,1,U-codes reserved / national use
U30.9,1,U-codes reserved / national use
U31,1,U-codes reserved / national use
U31.0,1,U-codes reserved / national use
U31.1,1,U-codes reserved / national use
U31.2,1,U-codes reserved / national use
U31.3,1,U-codes reserved / national use
U31.4,1,U-codes reserved / national use
U31.5,1,U-codes reserved / national use
U31.6,1,U-codes reserved / national use
U31.7,1,U-codes reserved / national use
U31.8,1,U-codes reserved / national use
U31.9,1,U-codes reserved / national use
U32,1,U-codes reserved / national use
U32.0,1,U-codes reserved / national use
U32.1,1,U-codes reserved / national use
U32.2,1,U-codes reserved / national use
U32.3,1,U-codes reserved / national use
U32.4,1,U-codes reserved / national use
U32.5,1,U-codes reserved / national use
U32.6,1,U-codes reserved / national use
U32.7,1,U-codes reserved / national use
U32.8,1,U-codes reserved / national use
U32.9,1,U-codes reserved / national use
U33,1,U-codes reserved / national use
U33.0,1,U-codes reserved / national use
U33.1,1,U-codes reserved / national use
U33.2,1,U-codes reserved / national use
U33.3,1,U-codes reserved / national use
U33.4,1,U-codes reserved / national use
U33.5,1,U-codes reserved / national use
U33.6,1,U-codes reserved / national use
U33.7,1,U-codes reserved / national use
U33.8,1,U-codes reserved / national use
U33.9,1,U-codes reserved / national use
U34,1,U-codes reserved / national use
U34.0,1,U-codes reserved / national use
U34.1,1,U-codes reserved / national use
U34.2,1,U-codes reserved / national use
U34.3,1,U-codes reserved / national use
U34.4,1,U-codes reserved / national use
U34.5,1,U-codes reserved / national use
U34.6,1,U-codes reserved / national use
U34.7,1,U-codes reserved / national use
U34.8,1,U-codes reserved / national use
U34.9,1,U-codes reserved / national use
U35,1,U-codes reserved / national use
U35.0,1,U-codes reserved / national use
U35.1,1,U-codes reserved / national use
U35.2,1,U-codes reserved / national use
U35.3,1,U-codes reserved / national use
U35.4,1,U-codes reserved / national use
U35.5,1,U-codes reserved / national use
U35.6,1,U-codes reserved / national use
U35.7,1,U-codes reserved / national use
U35.8,1,U-codes reserved / national use
U35.9,1,U-codes reserved / national use
U36,1,U-codes reserved / national use
U36.0,1,U-codes reserved / national use
U36.1,1,U-codes reserved / national use
U36.2,1,U-codes reserved / national use
U36.3,1,U-codes reserved / national use
U36.4,1,U-codes reserved / national use
U36.5,1,U-codes reserved / national use
U36.6,1,U-codes reserved / national use
U36.7,1,U-codes reserved / national use
U36.8,1,U-codes reserved / national use
U36.9,1,U-codes reserved / national use
U37,1,U-codes reserved / national use
U37.0,1,U-codes reserved / national use
U37.1,1,U-codes reserved / national use
U37.2,1,U-codes reserved / national use
U37.3,1,U-codes reserved / national use
U37.4,1,U-codes reserved / national use
U37.5,1,U-codes reserved / national use
U37.6,1,U-codes reserved / national use
U37.7,1,U-codes reserved / national use
U37.8,1,U-codes reserved / national use
U37.9,1,U-codes reserved / national use
U38,1,U-codes reserved / national use
U38.0,1,U-codes reserved / national use
U38.1,1,U-codes reserved / national use
U38.2,1,U-codes reserved / national use
U38.3,1,U-codes reserved / national use
U38.4,1,U-codes reserved / national use
U38.5,1,U-codes reserved / national use
U38.6,1,U-codes reserved / national use
U38.7,1,U-codes reserved / national use
U38.8,1,U-codes reserved / national use
U38.9,1,U-codes reserved / national use
U39,1,U-codes reserved / national use
U39.0,1,U-codes reserved / national use
U39.1,1,U-codes reserved / national use
U39.2,1,U-codes reserved / national use
U39.3,1,U-codes reserved / national use
U39.4,1,U-codes reserved / national use
U39.5,1,U-codes reserved / national use
U39.6,1,U-codes reserved / national use
U39.7,1,U-codes reserved / national use
U39.8,1,U-codes reserved / national use
U39.9,1,U-codes reserved / national use
U40,1,U-codes reserved / national use
U40.0,1,U-codes reserved / national use
U40.1,1,U-codes reserved / national use
U40.2,1,U-codes reserved / national use
U40.3,1,U-codes reserved / national use
U40.4,1,U-codes reserved / national use
U40.5,1,U-codes reserved / national use
U40.6,1,U-codes reserved / national use
U40.7,1,U-codes reserved / national use
U40.8,1,U-codes reserved / national use
U40.9,1,U-codes reserved / national use
U41,1,U-codes reserved / national use
U41.0,1,U-codes reserved / national use
U41.1,1,U-codes reserved / national use
U41.2,1,U-codes reserved / national use
U41.3,1,U-codes reserved / national use
U41.4,1,U-codes reserved / national use
U41.5,1,U-codes reserved / national use
U41.6,1,U-codes reserved / national use
U41.7,1,U-codes reserved / national use
U41.8,1,U-codes reserved / national use
U41.9,1,U-codes reserved / national use
U42,1,U-codes reserved / national use
U42.0,1,U-codes reserved / national use
U42.1,1,U-codes reserved / national use
U42.2,1,U-codes reserved / national use
U42.3,1,U-codes reserved / national use
U42.4,1,U-codes reserved / national use
U42.5,1,U-codes reserved / national use
U42.6,1,U-codes reserved / national use
U42.7,1,U-codes reserved / national use
U42.8,1,U-codes reserved / national use
U42.9,1,U-codes reserved / national use
U43,1,U-codes reserved / national use
U43.0,1,U-codes reserved / national use
U43.1,1,U-codes reserved / national use
U43.2,1,U-codes reserved / national use
U43.3,1,U-codes reserved / national use
U43.4,1,U-codes reserved / national use
U43.5,1,U-codes reserved / national use
U43.6,1,U-codes reserved / national use
U43.7,1,U-codes reserved / national use
U43.8,1,U-codes reserved / national use
U43.9,1,U-codes reserved / national use
U44,1,U-codes reserved / national use
U44.0,1,U-codes reserved / national use
U44.1,1,U-codes reserved / national use
U44.2,1,U-codes reserved / national use
U44.3,1,U-codes reserved / national use
U44.4,1,U-codes reserved / national use
U44.5,1,U-codes reserved / national use
U44.6,1,U-codes reserved / national use
U44.7,1,U-codes reserved / national use
U44.8,1,U-codes reserved / national use
U44.9,1,U-codes reserved / national use
U45,1,U-codes reserved / national use
U45.0,1,U-codes reserved / national use
U45.1,1,U-codes reserved / national use
U45.2,1,U-codes reserved / national use
U45.3,1,U-codes reserved / national use
U45.4,1,U-codes reserved / national use
U45.5,1,U-codes reserved / national use
U45.6,1,U-codes reserved / national use
U45.7,1,U-codes reserved / national use
U45.8,1,U-codes reserved / national use
U45.9,1,U-codes reserved / national use
U46,1,U-codes reserved / national use
U46.0,1,U-codes reserved / national use
U46.1,1,U-codes reserved / national use
U46.2,1,U-codes reserved / national use
U46.3,1,U-codes reserved / national use
U46.4,1,U-codes reserved / national use
U46.5,1,U-codes reserved / national use
U46.6,1,U-codes reserved / national use
U46.7,1,U-codes reserved / national use
U46.8,1,U-codes reserved / national use
U46.9,1,U-codes reserved / national use
U47,1,U-codes reserved / national use
U47.0,1,U-codes reserved / national use
U47.1,1,U-codes reserved / national use
U47.2,1,U-codes reserved / national use
U47.3,1,U-codes reserved / national use
U47.4,1,U-codes reserved / national use
U47.5,1,U-codes reserved / national use
U47.6,1,U-codes reserved / national use
U47.7,1,U-codes reserved / national use
U47.8,1,U-codes reserved / national use
U47.9,1,U-codes reserved / national use
U48,1,U-codes reserved / national use
U48.0,1,U-codes reserved / national use
U48.1,1,U-codes reserved / national use
U48.2,1,U-codes reserved / national use
U48.3,1,U-codes reserved / national use
U48.4,1,U-codes reserved / national use
U48.5,1,U-codes reserved / national use
U48.6,1,U-codes reserved / national use
U48.7,1,U-codes reserved / national use
U48.8,1,U-codes reserved / national use
U48.9,1,U-codes reserved / national use
U49,1,U-codes reserved / national use
U49.0,1,U-codes reserved / national use
U49.1,1,U-codes reserved / national use
U49.2,1,U-codes reserved / national use
U49.3,1,U-codes reserved / national use
U49.4,1,U-codes reserved / national use
U49.5,1,U-codes reserved / national use
U49.6,1,U-codes reserved / national use
U49.7,1,U-codes reserved / national use
U49.8,1,U-codes reserved / national use
U49.9,1,U-codes reserved / national use
U50,1,U-codes reserved / national use
U50.0,1,U-codes reserved / national use
U50.1,1,U-codes reserved / national use
U50.2,1,U-codes reserved / national use
U50.3,1,U-codes reserved / national use
U50.4,1,U-codes reserved / national use
U50.5,1,U-codes reserved / national use
U50.6,1,U-codes reserved / national use
U50.7,1,U-codes reserved / national use
U50.8,1,U-codes reserved / national use
U50.9,1,U-codes reserved / national use
U51,1,U-codes reserved / national use
U51.0,1,U-codes reserved / national use
U51.1,1,U-codes reserved / national use
U51.2,1,U-codes reserved / national use
U51.3,1,U-codes reserved / national use
U51.4,1,U-codes reserved / national use
U51.5,1,U-codes reserved / national use
U51.6,1,U-codes reserved / national use
U51.7,1,U-codes reserved / national use
U51.8,1,U-codes reserved / national use
U51.9,1,U-codes reserved / national use
U52,1,U-codes reserved / national use
U52.0,1,U-codes reserved / national use
U52.1,1,U-codes reserved / national use
U52.2,1,U-codes reserved / national use
U52.3,1,U-codes reserved / national use
U52.4,1,U-codes reserved / national use
U52.5,1,U-codes reserved / national use
U52.6,1,U-codes reserved / national use
U52.7,1,U-codes reserved / national use
U52.8,1,U-codes reserved / national use
U52.9,1,U-codes reserved / national use
U53,1,U-codes reserved / national use
U53.0,1,U-codes reserved / national use
U53.1,1,U-codes reserved / national use
U53.2,1,U-codes reserved / national use
U53.3,1,U-codes reserved / national use
U53.4,1,U-codes reserved / national use
U53.5,1,U-codes reserved / national use
U53.6,1,U-codes reserved / national use
U53.7,1,U-codes reserved / national use
U53.8,1,U-codes reserved / national use
U53.9,1,U-codes reserved / national use
U54,1,U-codes reserved / national use
U54.0,1,U-codes reserved / national use
U54.1,1,U-codes reserved / national use
U54.2,1,U-codes reserved / national use
U54.3,1,U-codes reserved / national use
U54.4,1,U-codes reserved / national use
U54.5,1,U-codes reserved / national use
U54.6,1,U-codes reserved / national use
U54.7,1,U-codes reserved / national use
U54.8,1,U-codes reserved / national use
U54.9,1,U-codes reserved / national use
U55,1,U-codes reserved / national use
U55.0,1,U-codes reserved / national use
U55.1,1,U-codes reserved / national use
U55.2,1,U-codes reserved / national use
U55.3,1,U-codes reserved / national use
U55.4,1,U-codes reserved / national use
U55.5,1,U-codes reserved / national use
U55.6,1,U-codes reserved / national use
U55.7,1,U-codes reserved / national use
U55.8,1,U-codes reserved / national use
U55.9,1,U-codes reserved / national use
U56,1,U-codes reserved / national use
U56.0,1,U-codes reserved / national use
U56.1,1,U-codes reserved / national use
U56.2,1,U-codes reserved / national use
U56.3,1,U-codes reserved / national use
U56.4,1,U-codes reserved / national use
U56.5,1,U-codes reserved / national use
U56.6,1,U-codes reserved / national use
U56.7,1,U-codes reserved / national use
U56.8,1,U-codes reserved / national use
U56.9,1,U-codes reserved / national use
U57,1,U-codes reserved / national use
U57.0,1,U-codes reserved / national use
U57.1,1,U-codes reserved / national use
U57.2,1,U-codes reserved / national use
U57.3,1,U-codes reserved / national use
U57.4,1,U-codes reserved / national use
U57.5,1,U-codes reserved / national use
U57.6,1,U-codes reserved / national use
U57.7,1,U-codes reserved / national use
U57.8,1,U-codes reserved / national use
U57.9,1,U-codes reserved / national use
U58,1,U-codes reserved / national use
U58.0,1,U-codes reserved / national use
U58.1,1,U-codes reserved / national use
U58.2,1,U-codes reserved / national use
U58.3,1,U-codes reserved / national use
U58.4,1,U-codes reserved / national use
U58.5,1,U-codes reserved / national use
U58.6,1,U-codes reserved / national use
U58.7,1,U-codes reserved / national use
U58.8,1,U-codes reserved / national use
U58.9,1,U-codes reserved / national use
U59,1,U-codes reserved / national use
U59.0,1,U-codes reserved / national use
U59.1,1,U-codes reserved / national use
U59.2,1,U-codes reserved / national use
U59.3,1,U-codes reserved / national use
U59.4,1,U-codes reserved / national use
U59.5,1,U-codes reserved / national use
U59.6,1,U-codes reserved / national use
U59.7,1,U-codes reserved / national use
U59.8,1,U-codes reserved / national use
U59.9,1,U-codes reserved / national use
U60,1,U-codes reserved / national use
U60.0,1,U-codes reserved / national use
U60.1,1,U-codes reserved / national use
U60.2,1,U-codes reserved / national use
U60.3,1,U-codes reserved / national use
U60.4,1,U-codes reserved / national use
U60.5,1,U-codes reserved / national use
U60.6,1,U-codes reserved / national use
U60.7,1,U-codes reserved / national use
U60.8,1,U-codes reserved / national use
U60.9,1,U-codes reserved / national use
U61,1,U-codes reserved / national use
U61.0,1,U-codes reserved / national use
U61.1,1,U-codes reserved / national use
U61.2,1,U-codes reserved / national use
U61.3,1,U-codes reserved / national use
U61.4,1,U-codes reserved / national use
U61.5,1,U-codes reserved / national use
U61.6,1,U-codes reserved / national use
U61.7,1,U-codes reserved / national use
U61.8,1,U-codes reserved / national use
U61.9,1,U-codes reserved / national use
U62,1,U-codes reserved / national use
U62.0,1,U-codes reserved / national use
U62.1,1,U-codes reserved / national use
U62.2,1,U-codes reserved / national use
U62.3,1,U-codes reserved / national use
U62.4,1,U-codes reserved / national use
U62.5,1,U-codes reserved / national use
U62.6,1,U-codes reserved / national use
U62.7,1,U-codes reserved / national use
U62.8,1,U-codes reserved / national use
U62.9,1,U-codes reserved / national use
U63,1,U-codes reserved / national use
U63.0,1,U-codes reserved / national use
U63.1,1,U-codes reserved / national use
U63.2,1,U-codes reserved / national use
U63.3,1,U-codes reserved / national use
U63.4,1,U-codes reserved / national use
U63.5,1,U-codes reserved / national use
U63.6,1,U-codes reserved / national use
U63.7,1,U-codes reserved / national use
U63.8,1,U-codes reserved / national use
U63.9,1,U-codes reserved / national use
U64,1,U-codes reserved / national use
U64.0,1,U-codes reserved / national use
U64.1,1,U-codes reserved / national use
U64.2,1,U-codes reserved / national use
U64.3,1,U-codes reserved / national use
U64.4,1,U-codes reserved / national use
U64.5,1,U-codes reserved / national use
U64.6,1,U-codes reserved / national use
U64.7,1,U-codes reserved / national use
U64.8,1,U-codes reserved / national use
U64.9,1,U-codes reserved / national use
U65,1,U-codes reserved / national use
U65.0,1,U-codes reserved / national use
U65.1,1,U-codes reserved / national use
U65.2,1,U-codes reserved / national use
U65.3,1,U-codes reserved / national use
U65.4,1,U-codes reserved / national use
U65.5,1,U-codes reserved / national use
U65.6,1,U-codes reserved / national use
U65.7,1,U-codes reserved / national use
U65.8,1,U-codes reserved / national use
U65.9,1,U-codes reserved / national use
U66,1,U-codes reserved / national use
U66.0,1,U-codes reserved / national use
U66.1,1,U-codes reserved / national use
U66.2,1,U-codes reserved / national use
U66.3,1,U-codes reserved / national use
U66.4,1,U-codes reserved / national use
U66.5,1,U-codes reserved / national use
U66.6,1,U-codes reserved / national use
U66.7,1,U-codes reserved / national use
U66.8,1,U-codes reserved / national use
U66.9,1,U-codes reserved / national use
U67,1,U-codes reserved / national use
U67.0,1,U-codes reserved / national use
U67.1,1,U-codes reserved / national use
U67.2,1,U-codes reserved / national use
U67.3,1,U-codes reserved / national use
