code,description
O23529,"salpingo-oophoritis in pregnancy, unspecified trimester"
O23599,"infection of other part of genital tract in pregnancy, unspecified trimester"
O2390,"unspecified genitourinary tract infection in pregnancy, unspecified trimester"
O2391,"unspecified genitourinary tract infection in pregnancy, first trimester"
O2392,"unspecified genitourinary tract infection in pregnancy, second trimester"
O2393,"unspecified genitourinary tract infection in pregnancy, third trimester"
O24019,"pre-existing type 1 diabetes mellitus, in pregnancy, unspecified trimester"
O24119,"pre-existing type 2 diabetes mellitus, in pregnancy, unspecified trimester"
O24311,"unspecified pre-existing diabetes mellitus in pregnancy, first trimester"
O24312,"unspecified pre-existing diabetes mellitus in pregnancy, second trimester"
O24313,"unspecified pre-existing diabetes mellitus in pregnancy, third trimester"
O24319,"unspecified pre-existing diabetes mellitus in pregnancy, unspecified trimester"
O2432,unspecified pre-existing diabetes mellitus in childbirth
O2433,unspecified pre-existing diabetes mellitus in the puerperium
O24419,"gestational diabetes mellitus in pregnancy, unspecified control"
O24429,"gestational diabetes mellitus in childbirth, unspecified control"
O24439,"gestational diabetes mellitus in the puerperium, unspecified control"
O24819,"other pre-existing diabetes mellitus in pregnancy, unspecified trimester"
O24911,"unspecified diabetes mellitus in pregnancy, first trimester"
O24912,"unspecified diabetes mellitus in pregnancy, second trimester"
O24913,"unspecified diabetes mellitus in pregnancy, third trimester"
O24919,"unspecified diabetes mellitus in pregnancy, unspecified trimester"
O2492,unspecified diabetes mellitus in childbirth
O2493,unspecified diabetes mellitus in the puerperium
O2510,"malnutrition in pregnancy, unspecified trimester"
O2600,"excessive weight gain in pregnancy, unspecified trimester"
O2610,"low weight gain in pregnancy, unspecified trimester"
O2630,"retained intrauterine contraceptive device in pregnancy, unspecified trimester"
O2640,"herpes gestationis, unspecified trimester"
O2650,"maternal hypotension syndrome, unspecified trimester"
O26619,"liver and biliary tract disorders in pregnancy, unspecified trimester"
O26649,"intrahepatic cholestasis of pregnancy, unspecified trimester"
O26719,"subluxation of symphysis (pubis) in pregnancy, unspecified trimester"
O26819,"pregnancy related exhaustion and fatigue, unspecified trimester"
O26829,"pregnancy related peripheral neuritis, unspecified trimester"
O26839,"pregnancy related renal disease, unspecified trimester"
O26849,"uterine size-date discrepancy, unspecified trimester"
O26859,"spotting complicating pregnancy, unspecified trimester"
O26879,"cervical shortening, unspecified trimester"
O26899,"other specified pregnancy related conditions, unspecified trimester"
O2690,"pregnancy related conditions, unspecified, unspecified trimester"
O2691,"pregnancy related conditions, unspecified, first trimester"
O2692,"pregnancy related conditions, unspecified, second trimester"
O2693,"pregnancy related conditions, unspecified, third trimester"
O289,unspecified abnormal findings on antenatal screening of mother
O29099,"other pulmonary complications of anesthesia during pregnancy, unspecified trimester"
O29199,"other cardiac complications of anesthesia during pregnancy, unspecified trimester"
O29299,"other central nervous system complications of anesthesia during pregnancy, unspecified trimester"
O293X9,"toxic reaction to local anesthesia during pregnancy, unspecified trimester"
O2940,"spinal and epidural anesthesia induced headache during pregnancy, unspecified trimester"
O295X9,"other complications of spinal and epidural anesthesia during pregnancy, unspecified trimester"
O2960,"failed or difficult intubation for anesthesia during pregnancy, unspecified trimester"
O298X9,"other complications of anesthesia during pregnancy, unspecified trimester"
O2990,"unspecified complication of anesthesia during pregnancy, unspecified trimester"
O2991,"unspecified complication of anesthesia during pregnancy, first trimester"
O2992,"unspecified complication of anesthesia during pregnancy, second trimester"
O2993,"unspecified complication of anesthesia during pregnancy, third trimester"
O30001,"twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O30002,"twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
O30003,"twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
O30009,"twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
O30019,"twin pregnancy, monochorionic/monoamniotic, unspecified trimester"
O30029,"conjoined twin pregnancy, unspecified trimester"
O30039,"twin pregnancy, monochorionic/diamniotic, unspecified trimester"
O30049,"twin pregnancy, dichorionic/diamniotic, unspecified trimester"
O30099,"twin pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
O30101,"triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O30102,"triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
O30103,"triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
O30109,"triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
O30139,"triplet pregnancy, trichorionic/triamniotic, unspecified trimester"
O30199,"triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
O30201,"quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O30202,"quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
O30203,"quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
O30209,"quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
O30239,"quadruplet pregnancy, quadrachorionic/quadra-amniotic, unspecified trimester"
O30299,"quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
O30801,"other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O30802,"other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
O30803,"other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
O30809,"other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
O30839,"other specified multiple gestation, number of chorions and amnions are both equal to the number of fetuses, unspecified trimester"
O30899,"other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
O3090,"multiple gestation, unspecified, unspecified trimester"
O3091,"multiple gestation, unspecified, first trimester"
O3092,"multiple gestation, unspecified, second trimester"
O3093,"multiple gestation, unspecified, third trimester"
O3100X0,"papyraceous fetus, unspecified trimester, not applicable or unspecified"
O3100X1,"papyraceous fetus, unspecified trimester, fetus 1"
O3100X2,"papyraceous fetus, unspecified trimester, fetus 2"
O3100X3,"papyraceous fetus, unspecified trimester, fetus 3"
O3100X4,"papyraceous fetus, unspecified trimester, fetus 4"
O3100X5,"papyraceous fetus, unspecified trimester, fetus 5"
O3100X9,"papyraceous fetus, unspecified trimester, other fetus"
O3101X0,"papyraceous fetus, first trimester, not applicable or unspecified"
O3102X0,"papyraceous fetus, second trimester, not applicable or unspecified"
O3103X0,"papyraceous fetus, third trimester, not applicable or unspecified"
O3110X0,"continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, not applicable or unspecified"
O3110X1,"continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 1"
O3110X2,"continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 2"
O3110X3,"continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 3"
O3110X4,"continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 4"
O3110X5,"continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 5"
O3110X9,"continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, other fetus"
O3111X0,"continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, not applicable or unspecified"
O3112X0,"continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, not applicable or unspecified"
O3113X0,"continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, not applicable or unspecified"
O3120X0,"continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, not applicable or unspecified"
O3120X1,"continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 1"
O3120X2,"continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 2"
O3120X3,"continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 3"
O3120X4,"continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 4"
O3120X5,"continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 5"
O3120X9,"continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, other fetus"
O3121X0,"continuing pregnancy after intrauterine death of one fetus or more, first trimester, not applicable or unspecified"
O3122X0,"continuing pregnancy after intrauterine death of one fetus or more, second trimester, not applicable or unspecified"
O3123X0,"continuing pregnancy after intrauterine death of one fetus or more, third trimester, not applicable or unspecified"
O3130X0,"continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, not applicable or unspecified"
O3130X1,"continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 1"
O3130X2,"continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 2"
O3130X3,"continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 3"
O3130X4,"continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 4"
O3130X5,"continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 5"
O3130X9,"continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, other fetus"
O3131X0,"continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, not applicable or unspecified"
O3132X0,"continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, not applicable or unspecified"
O3133X0,"continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, not applicable or unspecified"
O320XX0,"maternal care for unstable lie, not applicable or unspecified"
O321XX0,"maternal care for breech presentation, not applicable or unspecified"
O322XX0,"maternal care for transverse and oblique lie, not applicable or unspecified"
O323XX0,"maternal care for face, brow and chin presentation, not applicable or unspecified"
O324XX0,"maternal care for high head at term, not applicable or unspecified"
O326XX0,"maternal care for compound presentation, not applicable or unspecified"
O328XX0,"maternal care for other malpresentation of fetus, not applicable or unspecified"
O329XX0,"maternal care for malpresentation of fetus, unspecified, not applicable or unspecified"
O329XX1,"maternal care for malpresentation of fetus, unspecified, fetus 1"
O329XX2,"maternal care for malpresentation of fetus, unspecified, fetus 2"
O329XX3,"maternal care for malpresentation of fetus, unspecified, fetus 3"
O329XX4,"maternal care for malpresentation of fetus, unspecified, fetus 4"
O329XX5,"maternal care for malpresentation of fetus, unspecified, fetus 5"
O329XX9,"maternal care for malpresentation of fetus, unspecified, other fetus"
O334XX0,"maternal care for disproportion of mixed maternal and fetal origin, not applicable or unspecified"
O339,"maternal care for disproportion, unspecified"
O3400,"maternal care for unspecified congenital malformation of uterus, unspecified trimester"
O3401,"maternal care for unspecified congenital malformation of uterus, first trimester"
O3402,"maternal care for unspecified congenital malformation of uterus, second trimester"
O3403,"maternal care for unspecified congenital malformation of uterus, third trimester"
O3410,"maternal care for benign tumor of corpus uteri, unspecified trimester"
O34219,maternal care for unspecified type scar from previous cesarean delivery
O3430,"maternal care for cervical incompetence, unspecified trimester"
O3440,"maternal care for other abnormalities of cervix, unspecified trimester"
O34519,"maternal care for incarceration of gravid uterus, unspecified trimester"
O34529,"maternal care for prolapse of gravid uterus, unspecified trimester"
O34539,"maternal care for retroversion of gravid uterus, unspecified trimester"
O34599,"maternal care for other abnormalities of gravid uterus, unspecified trimester"
O3460,"maternal care for abnormality of vagina, unspecified trimester"
O3470,"maternal care for abnormality of vulva and perineum, unspecified trimester"
O3480,"maternal care for other abnormalities of pelvic organs, unspecified trimester"
O3490,"maternal care for abnormality of pelvic organ, unspecified, unspecified trimester"
O3491,"maternal care for abnormality of pelvic organ, unspecified, first trimester"
O3492,"maternal care for abnormality of pelvic organ, unspecified, second trimester"
O3493,"maternal care for abnormality of pelvic organ, unspecified, third trimester"
O3500X0,"maternal care for (suspected) central nervous system malformation or damage in fetus, unspecified, not applicable or unspecified"
O3500X1,"maternal care for (suspected) central nervous system malformation or damage in fetus, unspecified, fetus 1"
O3500X2,"maternal care for (suspected) central nervous system malformation or damage in fetus, unspecified, fetus 2"
O3500X3,"maternal care for (suspected) central nervous system malformation or damage in fetus, unspecified, fetus 3"
O3500X4,"maternal care for (suspected) central nervous system malformation or damage in fetus, unspecified, fetus 4"
O3500X5,"maternal care for (suspected) central nervous system malformation or damage in fetus, unspecified, fetus 5"
O3500X9,"maternal care for (suspected) central nervous system malformation or damage in fetus, unspecified, other fetus"
O3501X0,"maternal care for (suspected) central nervous system malformation or damage in fetus, agenesis of the corpus callosum, not applicable or unspecified"
O3502X0,"maternal care for (suspected) central nervous system malformation or damage in fetus, anencephaly, not applicable or unspecified"
O3503X0,"maternal care for (suspected) central nervous system malformation or damage in fetus, choroid plexus cysts, not applicable or unspecified"
O3504X0,"maternal care for (suspected) central nervous system malformation or damage in fetus, encephalocele, not applicable or unspecified"
O3505X0,"maternal care for (suspected) central nervous system malformation or damage in fetus, holoprosencephaly, not applicable or unspecified"
O3506X0,"maternal care for (suspected) central nervous system malformation or damage in fetus, hydrocephaly, not applicable or unspecified"
O3507X0,"maternal care for (suspected) central nervous system malformation or damage in fetus, microcephaly, not applicable or unspecified"
O3508X0,"maternal care for (suspected) central nervous system malformation or damage in fetus, spina bifida, not applicable or unspecified"
O3509X0,"maternal care for (suspected) other central nervous system malformation or damage in fetus, not applicable or unspecified"
O3510X0,"maternal care for (suspected) chromosomal abnormality in fetus, unspecified, not applicable or unspecified"
O3510X1,"maternal care for (suspected) chromosomal abnormality in fetus, unspecified, fetus 1"
O3510X2,"maternal care for (suspected) chromosomal abnormality in fetus, unspecified, fetus 2"
O3510X3,"maternal care for (suspected) chromosomal abnormality in fetus, unspecified, fetus 3"
O3510X4,"maternal care for (suspected) chromosomal abnormality in fetus, unspecified, fetus 4"
O3510X5,"maternal care for (suspected) chromosomal abnormality in fetus, unspecified, fetus 5"
O3510X9,"maternal care for (suspected) chromosomal abnormality in fetus, unspecified, other fetus"
O3511X0,"maternal care for (suspected) chromosomal abnormality in fetus, trisomy 13, not applicable or unspecified"
O3512X0,"maternal care for (suspected) chromosomal abnormality in fetus, trisomy 18, not applicable or unspecified"
O3513X0,"maternal care for (suspected) chromosomal abnormality in fetus, trisomy 21, not applicable or unspecified"
O3514X0,"maternal care for (suspected) chromosomal abnormality in fetus, turner syndrome, not applicable or unspecified"
O3515X0,"maternal care for (suspected) chromosomal abnormality in fetus, sex chromosome abnormality, not applicable or unspecified"
O3519X0,"maternal care for (suspected) chromosomal abnormality in fetus, other chromosomal abnormality, not applicable or unspecified"
O35AXX0,"maternal care for other (suspected) fetal abnormality and damage, fetal facial anomalies, not applicable or unspecified"
O35BXX0,"maternal care for other (suspected) fetal abnormality and damage, fetal cardiac anomalies, not applicable or unspecified"
O35CXX0,"maternal care for other (suspected) fetal abnormality and damage, fetal pulmonary anomalies, not applicable or unspecified"
O35DXX0,"maternal care for other (suspected) fetal abnormality and damage, fetal gastrointestinal anomalies, not applicable or unspecified"
O35EXX0,"maternal care for other (suspected) fetal abnormality and damage, fetal genitourinary anomalies, not applicable or unspecified"
O35FXX0,"maternal care for other (suspected) fetal abnormality and damage, fetal musculoskeletal anomalies of trunk, not applicable or unspecified"
O35GXX0,"maternal care for other (suspected) fetal abnormality and damage, fetal upper extremities anomalies, not applicable or unspecified"
O35HXX0,"maternal care for other (suspected) fetal abnormality and damage, fetal lower extremities anomalies, not applicable or unspecified"
O352XX0,"maternal care for (suspected) hereditary disease in fetus, not applicable or unspecified"
O353XX0,"maternal care for (suspected) damage to fetus from viral disease in mother, not applicable or unspecified"
O354XX0,"maternal care for (suspected) damage to fetus from alcohol, not applicable or unspecified"
O355XX0,"maternal care for (suspected) damage to fetus by drugs, not applicable or unspecified"
O356XX0,"maternal care for (suspected) damage to fetus by radiation, not applicable or unspecified"
O357XX0,"maternal care for (suspected) damage to fetus by other medical procedures, not applicable or unspecified"
O358XX0,"maternal care for other (suspected) fetal abnormality and damage, not applicable or unspecified"
O359XX0,"maternal care for (suspected) fetal abnormality and damage, unspecified, not applicable or unspecified"
O359XX1,"maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 1"
O359XX2,"maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 2"
O359XX3,"maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 3"
O359XX4,"maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 4"
O359XX5,"maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 5"
O359XX9,"maternal care for (suspected) fetal abnormality and damage, unspecified, other fetus"
O360110,"maternal care for anti-d [rh] antibodies, first trimester, not applicable or unspecified"
O360120,"maternal care for anti-d [rh] antibodies, second trimester, not applicable or unspecified"
O360130,"maternal care for anti-d [rh] antibodies, third trimester, not applicable or unspecified"
O360190,"maternal care for anti-d [rh] antibodies, unspecified trimester, not applicable or unspecified"
O360191,"maternal care for anti-d [rh] antibodies, unspecified trimester, fetus 1"
O360192,"maternal care for anti-d [rh] antibodies, unspecified trimester, fetus 2"
O360193,"maternal care for anti-d [rh] antibodies, unspecified trimester, fetus 3"
O360194,"maternal care for anti-d [rh] antibodies, unspecified trimester, fetus 4"
O360195,"maternal care for anti-d [rh] antibodies, unspecified trimester, fetus 5"
O360199,"maternal care for anti-d [rh] antibodies, unspecified trimester, other fetus"
O360910,"maternal care for other rhesus isoimmunization, first trimester, not applicable or unspecified"
O360920,"maternal care for other rhesus isoimmunization, second trimester, not applicable or unspecified"
O360930,"maternal care for other rhesus isoimmunization, third trimester, not applicable or unspecified"
O360990,"maternal care for other rhesus isoimmunization, unspecified trimester, not applicable or unspecified"
O360991,"maternal care for other rhesus isoimmunization, unspecified trimester, fetus 1"
O360992,"maternal care for other rhesus isoimmunization, unspecified trimester, fetus 2"
O360993,"maternal care for other rhesus isoimmunization, unspecified trimester, fetus 3"
O360994,"maternal care for other rhesus isoimmunization, unspecified trimester, fetus 4"
O360995,"maternal care for other rhesus isoimmunization, unspecified trimester, fetus 5"
O360999,"maternal care for other rhesus isoimmunization, unspecified trimester, other fetus"
O361110,"maternal care for anti-a sensitization, first trimester, not applicable or unspecified"
O361120,"maternal care for anti-a sensitization, second trimester, not applicable or unspecified"
O361130,"maternal care for anti-a sensitization, third trimester, not applicable or unspecified"
O361190,"maternal care for anti-a sensitization, unspecified trimester, not applicable or unspecified"
O361191,"maternal care for anti-a sensitization, unspecified trimester, fetus 1"
O361192,"maternal care for anti-a sensitization, unspecified trimester, fetus 2"
O361193,"maternal care for anti-a sensitization, unspecified trimester, fetus 3"
O361194,"maternal care for anti-a sensitization, unspecified trimester, fetus 4"
O361195,"maternal care for anti-a sensitization, unspecified trimester, fetus 5"
O361199,"maternal care for anti-a sensitization, unspecified trimester, other fetus"
O361910,"maternal care for other isoimmunization, first trimester, not applicable or unspecified"
O361920,"maternal care for other isoimmunization, second trimester, not applicable or unspecified"
O361930,"maternal care for other isoimmunization, third trimester, not applicable or unspecified"
O361990,"maternal care for other isoimmunization, unspecified trimester, not applicable or unspecified"
O361991,"maternal care for other isoimmunization, unspecified trimester, fetus 1"
O361992,"maternal care for other isoimmunization, unspecified trimester, fetus 2"
O361993,"maternal care for other isoimmunization, unspecified trimester, fetus 3"
O361994,"maternal care for other isoimmunization, unspecified trimester, fetus 4"
O361995,"maternal care for other isoimmunization, unspecified trimester, fetus 5"
O361999,"maternal care for other isoimmunization, unspecified trimester, other fetus"
O3620X0,"maternal care for hydrops fetalis, unspecified trimester, not applicable or unspecified"
O3620X1,"maternal care for hydrops fetalis, unspecified trimester, fetus 1"
O3620X2,"maternal care for hydrops fetalis, unspecified trimester, fetus 2"
O3620X3,"maternal care for hydrops fetalis, unspecified trimester, fetus 3"
O3620X4,"maternal care for hydrops fetalis, unspecified trimester, fetus 4"
O3620X5,"maternal care for hydrops fetalis, unspecified trimester, fetus 5"
O3620X9,"maternal care for hydrops fetalis, unspecified trimester, other fetus"
O3621X0,"maternal care for hydrops fetalis, first trimester, not applicable or unspecified"
O3622X0,"maternal care for hydrops fetalis, second trimester, not applicable or unspecified"
O3623X0,"maternal care for hydrops fetalis, third trimester, not applicable or unspecified"
O364XX0,"maternal care for intrauterine death, not applicable or unspecified"
O365110,"maternal care for known or suspected placental insufficiency, first trimester, not applicable or unspecified"
O365120,"maternal care for known or suspected placental insufficiency, second trimester, not applicable or unspecified"
O365130,"maternal care for known or suspected placental insufficiency, third trimester, not applicable or unspecified"
O365190,"maternal care for known or suspected placental insufficiency, unspecified trimester, not applicable or unspecified"
O365191,"maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 1"
O365192,"maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 2"
O365193,"maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 3"
O365194,"maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 4"
O365195,"maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 5"
O365199,"maternal care for known or suspected placental insufficiency, unspecified trimester, other fetus"
O365910,"maternal care for other known or suspected poor fetal growth, first trimester, not applicable or unspecified"
O365920,"maternal care for other known or suspected poor fetal growth, second trimester, not applicable or unspecified"
O365930,"maternal care for other known or suspected poor fetal growth, third trimester, not applicable or unspecified"
O365990,"maternal care for other known or suspected poor fetal growth, unspecified trimester, not applicable or unspecified"
O365991,"maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 1"
O365992,"maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 2"
O365993,"maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 3"
O365994,"maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 4"
O365995,"maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 5"
O365999,"maternal care for other known or suspected poor fetal growth, unspecified trimester, other fetus"
O3660X0,"maternal care for excessive fetal growth, unspecified trimester, not applicable or unspecified"
O3660X1,"maternal care for excessive fetal growth, unspecified trimester, fetus 1"
O3660X2,"maternal care for excessive fetal growth, unspecified trimester, fetus 2"
O3660X3,"maternal care for excessive fetal growth, unspecified trimester, fetus 3"
O3660X4,"maternal care for excessive fetal growth, unspecified trimester, fetus 4"
O3660X5,"maternal care for excessive fetal growth, unspecified trimester, fetus 5"
O3660X9,"maternal care for excessive fetal growth, unspecified trimester, other fetus"
O3661X0,"maternal care for excessive fetal growth, first trimester, not applicable or unspecified"
O3662X0,"maternal care for excessive fetal growth, second trimester, not applicable or unspecified"
O3663X0,"maternal care for excessive fetal growth, third trimester, not applicable or unspecified"
O3670X0,"maternal care for viable fetus in abdominal pregnancy, unspecified trimester, not applicable or unspecified"
O3670X1,"maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 1"
O3670X2,"maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 2"
O3670X3,"maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 3"
O3670X4,"maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 4"
O3670X5,"maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 5"
O3670X9,"maternal care for viable fetus in abdominal pregnancy, unspecified trimester, other fetus"
O3671X0,"maternal care for viable fetus in abdominal pregnancy, first trimester, not applicable or unspecified"
O3672X0,"maternal care for viable fetus in abdominal pregnancy, second trimester, not applicable or unspecified"
O3673X0,"maternal care for viable fetus in abdominal pregnancy, third trimester, not applicable or unspecified"
O368120,"decreased fetal movements, second trimester, not applicable or unspecified"
O368130,"decreased fetal movements, third trimester, not applicable or unspecified"
O368190,"decreased fetal movements, unspecified trimester, not applicable or unspecified"
O368191,"decreased fetal movements, unspecified trimester, fetus 1"
O368192,"decreased fetal movements, unspecified trimester, fetus 2"
O368193,"decreased fetal movements, unspecified trimester, fetus 3"
O368194,"decreased fetal movements, unspecified trimester, fetus 4"
O368195,"decreased fetal movements, unspecified trimester, fetus 5"
O368199,"decreased fetal movements, unspecified trimester, other fetus"
O368210,"fetal anemia and thrombocytopenia, first trimester, not applicable or unspecified"
O368220,"fetal anemia and thrombocytopenia, second trimester, not applicable or unspecified"
O368230,"fetal anemia and thrombocytopenia, third trimester, not applicable or unspecified"
O368290,"fetal anemia and thrombocytopenia, unspecified trimester, not applicable or unspecified"
O368291,"fetal anemia and thrombocytopenia, unspecified trimester, fetus 1"
O368292,"fetal anemia and thrombocytopenia, unspecified trimester, fetus 2"
O368293,"fetal anemia and thrombocytopenia, unspecified trimester, fetus 3"
O368294,"fetal anemia and thrombocytopenia, unspecified trimester, fetus 4"
O368295,"fetal anemia and thrombocytopenia, unspecified trimester, fetus 5"
O368299,"fetal anemia and thrombocytopenia, unspecified trimester, other fetus"
O368310,"maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, not applicable or unspecified"
O368320,"maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, not applicable or unspecified"
O368330,"maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, not applicable or unspecified"
O368390,"maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, not applicable or unspecified"
O368391,"maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 1"
O368392,"maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 2"
O368393,"maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 3"
O368394,"maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 4"
O368395,"maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 5"
O368399,"maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, other fetus"
O368910,"maternal care for other specified fetal problems, first trimester, not applicable or unspecified"
O368920,"maternal care for other specified fetal problems, second trimester, not applicable or unspecified"
O368930,"maternal care for other specified fetal problems, third trimester, not applicable or unspecified"
O368990,"maternal care for other specified fetal problems, unspecified trimester, not applicable or unspecified"
O368991,"maternal care for other specified fetal problems, unspecified trimester, fetus 1"
O368992,"maternal care for other specified fetal problems, unspecified trimester, fetus 2"
O368993,"maternal care for other specified fetal problems, unspecified trimester, fetus 3"
O368994,"maternal care for other specified fetal problems, unspecified trimester, fetus 4"
O368995,"maternal care for other specified fetal problems, unspecified trimester, fetus 5"
O368999,"maternal care for other specified fetal problems, unspecified trimester, other fetus"
O3690X0,"maternal care for fetal problem, unspecified, unspecified trimester, not applicable or unspecified"
O3690X1,"maternal care for fetal problem, unspecified, unspecified trimester, fetus 1"
O3690X2,"maternal care for fetal problem, unspecified, unspecified trimester, fetus 2"
O3690X3,"maternal care for fetal problem, unspecified, unspecified trimester, fetus 3"
O3690X4,"maternal care for fetal problem, unspecified, unspecified trimester, fetus 4"
O3690X5,"maternal care for fetal problem, unspecified, unspecified trimester, fetus 5"
O3690X9,"maternal care for fetal problem, unspecified, unspecified trimester, other fetus"
O3691X0,"maternal care for fetal problem, unspecified, first trimester, not applicable or unspecified"
O3691X1,"maternal care for fetal problem, unspecified, first trimester, fetus 1"
O3691X2,"maternal care for fetal problem, unspecified, first trimester, fetus 2"
O3691X3,"maternal care for fetal problem, unspecified, first trimester, fetus 3"
O3691X4,"maternal care for fetal problem, unspecified, first trimester, fetus 4"
O3691X5,"maternal care for fetal problem, unspecified, first trimester, fetus 5"
O3691X9,"maternal care for fetal problem, unspecified, first trimester, other fetus"
O3692X0,"maternal care for fetal problem, unspecified, second trimester, not applicable or unspecified"
O3692X1,"maternal care for fetal problem, unspecified, second trimester, fetus 1"
O3692X2,"maternal care for fetal problem, unspecified, second trimester, fetus 2"
O3692X3,"maternal care for fetal problem, unspecified, second trimester, fetus 3"
O3692X4,"maternal care for fetal problem, unspecified, second trimester, fetus 4"
O3692X5,"maternal care for fetal problem, unspecified, second trimester, fetus 5"
O3692X9,"maternal care for fetal problem, unspecified, second trimester, other fetus"
O3693X0,"maternal care for fetal problem, unspecified, third trimester, not applicable or unspecified"
O3693X1,"maternal care for fetal problem, unspecified, third trimester, fetus 1"
O3693X2,"maternal care for fetal problem, unspecified, third trimester, fetus 2"
O3693X3,"maternal care for fetal problem, unspecified, third trimester, fetus 3"
